20100123083642S:A0500,0008,  00001111,1,00,00
20100123092948R:I 503,0  8,0100, 0, 0, 0, 0
20100123093233R:I 503,0  8,0101, 0, 0, 0, 0
20100123093234R:A 510,0  8,  00001281,10, 0, 0, 0
20100123093240R:I 503,0  8,0100, 0, 0, 0, 0
20100123093542R:I 503,0  8,0101, 0, 0, 0, 0
20100123093544R:A 510,0  8,  00001129,10, 0, 0, 0
20100123093550R:I 503,0  8,0100, 0, 0, 0, 0
20100123093722R:I 503,0  8,0101, 0, 0, 0, 0
20100123093724R:A 510,0  8,  00001043,10, 0, 0, 0
20100123093730R:I 503,0  8,0100, 0, 0, 0, 0
20100123094005R:I 503,0  8,0101, 0, 0, 0, 0
20100123094007R:A 510,0  8,  00001134,10, 0, 0, 0
20100123094013R:I 503,0  8,0100, 0, 0, 0, 0
20100123094207R:I 503,0  8,0101, 0, 0, 0, 0
20100123094209R:A 510,0  8,  00000089,10, 0, 0, 0
20100123094215R:I 503,0  8,0100, 0, 0, 0, 0
20100123094813R:I 503,0  8,0101, 0, 0, 0, 0
20100123094815R:A 510,0  8,  00001031,10, 0, 0, 0
20100123094821R:I 503,0  8,0100, 0, 0, 0, 0
20100123095011R:I 503,0  8,0101, 0, 0, 0, 0
20100123095013R:A 510,0  8,  00001113,10, 0, 0, 0
20100123095019R:I 503,0  8,0100, 0, 0, 0, 0
20100123095047R:I 503,0  8,0101, 0, 0, 0, 0
20100123095049R:A 510,0  8,  00001121,10, 0, 0, 0
20100123095055R:I 503,0  8,0100, 0, 0, 0, 0
20100123095421R:I 503,0  8,0101, 0, 0, 0, 0
20100123095422R:A 510,0  8,  00001262,10, 0, 0, 0
20100123095428R:I 503,0  8,0100, 0, 0, 0, 0
20100123095658R:I 503,0  8,0101, 0, 0, 0, 0
20100123095700R:A 510,0  8,  00000162,10, 0, 0, 0
20100123095706R:I 503,0  8,0100, 0, 0, 0, 0
20100123095828R:I 503,0  8,0101, 0, 0, 0, 0
20100123095830R:A 510,0  8,  00001027,10, 0, 0, 0
20100123095836R:I 503,0  8,0100, 0, 0, 0, 0
20100123100426R:I 503,0  8,0101, 0, 0, 0, 0
20100123100428R:A 510,0  8,  00000014,10, 0, 0, 0
20100123100434R:I 503,0  8,0100, 0, 0, 0, 0
20100123100646R:I 503,0  8,0101, 0, 0, 0, 0
20100123100648R:A 510,0  8,  00000134,10, 0, 0, 0
20100123100654R:I 503,0  8,0100, 0, 0, 0, 0
20100123100702R:I 503,0  8,0101, 0, 0, 0, 0
20100123100704R:A 510,0  8,  00001285,10, 0, 0, 0
20100123100710R:I 503,0  8,0100, 0, 0, 0, 0
20100123100902R:I 503,0  8,0101, 0, 0, 0, 0
20100123100903R:A 510,0  8,  00000038,10, 0, 0, 0
20100123100909R:I 503,0  8,0100, 0, 0, 0, 0
20100123101248R:I 503,0  8,0101, 0, 0, 0, 0
20100123101250R:A 510,0  8,  00000130,10, 0, 0, 0
20100123101256R:I 503,0  8,0100, 0, 0, 0, 0
20100123101450R:I 503,0  8,0101, 0, 0, 0, 0
20100123101452R:A 510,0  8,  00000103,10, 0, 0, 0
20100123101458R:I 503,0  8,0100, 0, 0, 0, 0
20100123101826S:A0500,0008,  00000065,1,00,00
20100123101826R:I 503,0  8,0101, 0, 0, 0, 0
20100123101830R:A 501,0  8,  00000065,0, 0
20100123101830R:A 510,0  8,  00000065, 1, 0, 0, 0
20100123101839R:A 510,0  8,  00000065, 9, 0, 0, 0
20100123101844R:A 503,0  8,  00000065, 0, 0
20100123103758R:A 510,0  8,  00001296,10, 0, 1, 0
20100123104733S:A0503,0008,  00000065,01,00
20100123104736R:A 504,0  8,  00000065, 0, 0
20100123104737R:I 503,0  8,0100, 0, 0, 0, 0
