D1    dce_setenv          | Debug level is <DEBUG:DEBUG>
D188  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W190  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D191  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D192  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D193  dce_push_long       | sending <dce_rpccount>=0
D194  dce_pop_long        | got <dce_rpccount>=498
D195  dce_pop_int         | got <dce_svr_pid>=212042
D196  dce_submit_ext      | data transferred, Socket <1876> closed
D197  dce_pop_long        | got <dce_result>=6
D198  dce_table_destroy   | about to clear <9044290>
D199  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D200  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W202  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D203  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D204  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D205  dce_push_long       | sending <dce_rpccount>=0
D206  dce_pop_long        | got <dce_rpccount>=499
D207  dce_pop_int         | got <dce_svr_pid>=212042
D208  dce_submit_ext      | data transferred, Socket <1876> closed
D209  dce_pop_long        | got <dce_result>=6
D210  dce_table_destroy   | about to clear <9044bc0>
D211  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D212  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W214  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D215  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D216  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D217  dce_push_long       | sending <dce_rpccount>=0
D218  dce_pop_long        | got <dce_rpccount>=500
D219  dce_pop_int         | got <dce_svr_pid>=212042
D220  dce_submit_ext      | data transferred, Socket <1876> closed
D221  dce_pop_long        | got <dce_result>=1
D222  dce_table_destroy   | about to clear <9044bc0>
D223  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D224  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W226  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D227  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D228  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D229  dce_push_long       | sending <dce_rpccount>=0
D230  dce_pop_long        | got <dce_rpccount>=501
D231  dce_pop_int         | got <dce_svr_pid>=212042
D232  dce_submit_ext      | data transferred, Socket <1876> closed
D233  dce_pop_long        | got <dce_result>=5
D234  dce_table_destroy   | about to clear <9044bc0>
D235  dce_table_destroy   | current time is <Fri Aug 29 22:50:40 2003>
D236  dce_findserver      | current time is <Fri Aug 29 22:50:40 2003>
W238  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D239  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D240  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D241  dce_push_long       | sending <dce_rpccount>=0
D242  dce_pop_long        | got <dce_rpccount>=502
D243  dce_pop_int         | got <dce_svr_pid>=212042
D244  dce_submit_ext      | data transferred, Socket <1876> closed
D245  dce_pop_long        | got <dce_result>=1
D246  dce_table_destroy   | about to clear <90441d0>
D247  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D248  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W250  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D251  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D252  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D253  dce_push_long       | sending <dce_rpccount>=0
D254  dce_pop_long        | got <dce_rpccount>=503
D255  dce_pop_int         | got <dce_svr_pid>=212042
D256  dce_submit_ext      | data transferred, Socket <1876> closed
D257  dce_pop_long        | got <dce_result>=9
D258  dce_table_destroy   | about to clear <9044c10>
D259  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D260  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W262  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D263  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D264  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D265  dce_push_long       | sending <dce_rpccount>=0
D266  dce_pop_long        | got <dce_rpccount>=504
D267  dce_pop_int         | got <dce_svr_pid>=212042
D268  dce_submit_ext      | data transferred, Socket <1876> closed
D269  dce_pop_long        | got <dce_result>=2
D270  dce_table_destroy   | about to clear <9045400>
D271  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D272  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W274  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D275  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D276  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D277  dce_push_long       | sending <dce_rpccount>=0
D278  dce_pop_long        | got <dce_rpccount>=505
D279  dce_pop_int         | got <dce_svr_pid>=212042
D280  dce_submit_ext      | data transferred, Socket <1876> closed
D281  dce_pop_long        | got <dce_result>=0
D282  dce_table_destroy   | about to clear <9045a50>
D283  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D284  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W286  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D287  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D288  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D289  dce_push_long       | sending <dce_rpccount>=0
D290  dce_pop_long        | got <dce_rpccount>=506
D291  dce_pop_int         | got <dce_svr_pid>=212042
D292  dce_submit_ext      | data transferred, Socket <1876> closed
D293  dce_pop_long        | got <dce_result>=0
D294  dce_table_destroy   | about to clear <9045f40>
D295  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D296  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W298  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D299  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D300  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D301  dce_push_long       | sending <dce_rpccount>=0
D302  dce_pop_long        | got <dce_rpccount>=507
D303  dce_pop_int         | got <dce_svr_pid>=212042
D304  dce_submit_ext      | data transferred, Socket <1876> closed
D305  dce_pop_long        | got <dce_result>=0
D306  dce_table_destroy   | about to clear <90457e0>
D307  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D308  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W310  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D311  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D312  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D313  dce_push_long       | sending <dce_rpccount>=0
D314  dce_pop_long        | got <dce_rpccount>=508
D315  dce_pop_int         | got <dce_svr_pid>=212042
D316  dce_submit_ext      | data transferred, Socket <1876> closed
D317  dce_pop_long        | got <dce_result>=0
D318  dce_table_destroy   | about to clear <9045300>
D319  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D320  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W322  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D323  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D324  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D325  dce_push_long       | sending <dce_rpccount>=0
D326  dce_pop_long        | got <dce_rpccount>=509
D327  dce_pop_int         | got <dce_svr_pid>=212042
D328  dce_submit_ext      | data transferred, Socket <1876> closed
D329  dce_pop_long        | got <dce_result>=0
D330  dce_table_destroy   | about to clear <9045af0>
D331  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D332  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W334  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D335  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D336  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D337  dce_push_long       | sending <dce_rpccount>=0
D338  dce_pop_long        | got <dce_rpccount>=510
D339  dce_pop_int         | got <dce_svr_pid>=212042
D340  dce_submit_ext      | data transferred, Socket <1876> closed
D341  dce_pop_long        | got <dce_result>=0
D342  dce_table_destroy   | about to clear <9045af0>
D343  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D344  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W346  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D347  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D348  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D349  dce_push_long       | sending <dce_rpccount>=0
D350  dce_pop_long        | got <dce_rpccount>=511
D351  dce_pop_int         | got <dce_svr_pid>=212042
D352  dce_submit_ext      | data transferred, Socket <1876> closed
D353  dce_pop_long        | got <dce_result>=0
D354  dce_table_destroy   | about to clear <9045760>
D355  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D356  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W358  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D359  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D360  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D361  dce_push_long       | sending <dce_rpccount>=0
D362  dce_pop_long        | got <dce_rpccount>=512
D363  dce_pop_int         | got <dce_svr_pid>=212042
D364  dce_submit_ext      | data transferred, Socket <1876> closed
D365  dce_pop_long        | got <dce_result>=0
D366  dce_table_destroy   | about to clear <9045280>
D367  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D368  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W370  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D371  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D372  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D373  dce_push_long       | sending <dce_rpccount>=0
D374  dce_pop_long        | got <dce_rpccount>=513
D375  dce_pop_int         | got <dce_svr_pid>=212042
D376  dce_submit_ext      | data transferred, Socket <1876> closed
D377  dce_pop_long        | got <dce_result>=0
D378  dce_table_destroy   | about to clear <9045760>
D379  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D380  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W382  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D383  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D384  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D385  dce_push_long       | sending <dce_rpccount>=0
D386  dce_pop_long        | got <dce_rpccount>=514
D387  dce_pop_int         | got <dce_svr_pid>=212042
D388  dce_submit_ext      | data transferred, Socket <1876> closed
D389  dce_pop_long        | got <dce_result>=0
D390  dce_table_destroy   | about to clear <90457a0>
D391  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D392  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W394  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D395  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D396  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D397  dce_push_long       | sending <dce_rpccount>=0
D398  dce_pop_long        | got <dce_rpccount>=515
D399  dce_pop_int         | got <dce_svr_pid>=212042
D400  dce_submit_ext      | data transferred, Socket <1876> closed
D401  dce_pop_long        | got <dce_result>=0
D402  dce_table_destroy   | about to clear <9045830>
D403  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D404  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W406  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D407  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D408  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D409  dce_push_long       | sending <dce_rpccount>=0
D410  dce_pop_long        | got <dce_rpccount>=516
D411  dce_pop_int         | got <dce_svr_pid>=212042
D412  dce_submit_ext      | data transferred, Socket <1876> closed
D413  dce_pop_long        | got <dce_result>=0
D414  dce_table_destroy   | about to clear <90458c0>
D415  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D416  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W418  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D419  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D420  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D421  dce_push_long       | sending <dce_rpccount>=0
D422  dce_pop_long        | got <dce_rpccount>=517
D423  dce_pop_int         | got <dce_svr_pid>=212042
D424  dce_submit_ext      | data transferred, Socket <1876> closed
D425  dce_pop_long        | got <dce_result>=0
D426  dce_table_destroy   | about to clear <9045ad0>
D427  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D428  dce_findserver      | current time is <Fri Aug 29 22:50:41 2003>
W430  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D431  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D432  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<1876>
D433  dce_push_long       | sending <dce_rpccount>=0
D434  dce_pop_long        | got <dce_rpccount>=518
D435  dce_pop_int         | got <dce_svr_pid>=212042
D436  dce_submit_ext      | data transferred, Socket <1876> closed
D437  dce_pop_long        | got <dce_result>=0
D438  dce_table_destroy   | about to clear <9046410>
D439  dce_table_destroy   | current time is <Fri Aug 29 22:50:41 2003>
D440  dce_findserver      | current time is <Fri Aug 29 22:51:16 2003>
W442  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D443  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D444  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<2208>
D445  dce_push_long       | sending <dce_rpccount>=0
D446  dce_pop_long        | got <dce_rpccount>=519
D447  dce_pop_int         | got <dce_svr_pid>=212042
D448  dce_submit_ext      | data transferred, Socket <2208> closed
D449  dce_pop_long        | got <dce_result>=3
D450  dce_table_destroy   | about to clear <9046990>
D451  dce_table_destroy   | current time is <Fri Aug 29 22:51:16 2003>
D452  dce_findserver      | current time is <Fri Aug 29 22:51:16 2003>
W454  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D455  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D456  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<2208>
D457  dce_push_long       | sending <dce_rpccount>=0
D458  dce_pop_long        | got <dce_rpccount>=520
D459  dce_pop_int         | got <dce_svr_pid>=212042
D460  dce_submit_ext      | data transferred, Socket <2208> closed
D461  dce_pop_long        | got <dce_result>=10
D462  dce_table_destroy   | about to clear <9046410>
D463  dce_table_destroy   | current time is <Fri Aug 29 22:51:16 2003>
D464  dce_findserver      | current time is <Fri Aug 29 22:51:16 2003>
W466  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D467  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D468  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<2208>
D469  dce_push_long       | sending <dce_rpccount>=0
D470  dce_pop_long        | got <dce_rpccount>=521
D471  dce_pop_int         | got <dce_svr_pid>=212042
D472  dce_submit_ext      | data transferred, Socket <2208> closed
D473  dce_pop_long        | got <dce_result>=1
D474  dce_table_destroy   | about to clear <90461a0>
D475  dce_table_destroy   | current time is <Fri Aug 29 22:51:16 2003>
D476  dce_findserver      | current time is <Fri Aug 29 22:51:16 2003>
W478  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D479  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D480  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<2208>
D481  dce_push_long       | sending <dce_rpccount>=0
D482  dce_pop_long        | got <dce_rpccount>=522
D483  dce_pop_int         | got <dce_svr_pid>=212042
D484  dce_submit_ext      | data transferred, Socket <2208> closed
D485  dce_pop_long        | got <dce_result>=5
D486  dce_table_destroy   | about to clear <9046350>
D487  dce_table_destroy   | current time is <Fri Aug 29 22:51:16 2003>
D488  dce_findserver      | current time is <Fri Aug 29 22:51:16 2003>
W490  dce_findserver      | =======<sl_d_m05>@<150.191.201.76/KNUH1>:<4250>=======
D491  dce_submit_ext      | about to submit RPC to <sl_d_m05:>
D492  dce_submit_ext      |    :function<sl_spcid_tstcd_select>:socket<2208>
D493  dce_push_long       | sending <dce_rpccount>=0
D494  dce_pop_long        | got <dce_rpccount>=523
