20100112073646S:A1500,0015,  00000011,1, 0,00
20100112074340R:A1510,0 15,  00000049, 1, 0, 1, 0
20100112074346R:U1500,0 15,  00001290, 0
20100112074346S:U1500,0 15,  00001290,00
20100112074350R:A1510,0 15,  00000049, 9, 0, 0, 0
20100112074402S:A1500,0015,  00001221,1, 0,00
20100112074408R:A1504,0 15,  00001290, 0, 0
20100112074408R:A1503,0 15,  00000049, 0, 0
20100112074408S:A1503,0015,  00000049,01,00
20100112074414R:U1500,0 15,  00000049, 0
20100112074414S:U1500,0 15,  00000049,00
20100112074448R:A1504,0 15,  00000049, 0, 0
20100112074500R:A1501,0 15,  00001196,0, 0
20100112074500R:A1510,0 15,  00001196, 1, 0, 0, 0
20100112074509R:A1510,0 15,  00001196, 9, 0, 0, 0
20100112074513R:A1503,0 15,  00001196, 0, 0
20100112074514S:A1503,0015,  00001196,01,00
20100112074521S:A1500,0015,  00001256,1, 0,00
20100112074522R:A1501,0 15,  00001022,0, 0
20100112074522R:A1510,0 15,  00001022, 1, 0, 1, 0
20100112074531R:A1510,0 15,  00001022, 9, 0, 1, 0
20100112074533R:U1500,0 15,  00001196, 0
20100112074533S:U1500,0 15,  00001196,00
20100112074542R:A1504,0 15,  00001196, 0, 0
20100112074542R:A1503,0 15,  00001022, 0, 0
20100112074543S:A1503,0015,  00001022,01,00
20100112074544S:A1500,0015,  00000073,1, 0,00
20100112074549R:U1500,0 15,  00001022, 0
20100112074549S:U1500,0 15,  00001022,00
20100112074622R:A1504,0 15,  00001022, 0, 0
20100112074634R:A1501,0 15,  00001221,0, 0
20100112074634R:A1510,0 15,  00001221, 1, 0, 0, 0
20100112074643R:A1510,0 15,  00001221, 9, 0, 0, 0
20100112074648R:A1503,0 15,  00001221, 0, 0
20100112074648S:A1503,0015,  00001221,01,00
20100112074656S:A1500,0015,  00000033,1, 0,00
20100112074657R:A1501,0 15,  00001256,0, 0
20100112074657R:A1510,0 15,  00001256, 1, 0, 1, 0
20100112074706R:A1510,0 15,  00001256, 9, 0, 1, 0
20100112074708R:U1500,0 15,  00001221, 0
20100112074708S:U1500,0 15,  00001221,00
20100112074717R:A1504,0 15,  00001221, 0, 0
20100112074717R:A1503,0 15,  00001256, 0, 0
20100112074718S:A1503,0015,  00001256,01,00
20100112074719S:A1500,0015,  00001031,1, 0,00
20100112074724R:U1500,0 15,  00001256, 0
20100112074724S:U1500,0 15,  00001256,00
20100112074750R:A1504,0 15,  00001256, 0, 0
20100112074802R:A1501,0 15,  00000073,0, 0
20100112074802R:A1510,0 15,  00000073, 1, 0, 0, 0
20100112074811R:A1510,0 15,  00000073, 9, 0, 0, 0
20100112074816R:A1503,0 15,  00000073, 0, 0
20100112074817S:A1503,0015,  00000073,01,00
20100112074824S:A1500,0015,  00000103,1, 0,00
20100112074825R:A1501,0 15,  00000033,0, 0
20100112074825R:A1510,0 15,  00000033, 1, 0, 1, 0
20100112074834R:A1510,0 15,  00000033, 9, 0, 1, 0
20100112074836R:U1500,0 15,  00000073, 0
20100112074836S:U1500,0 15,  00000073,00
20100112074845R:A1504,0 15,  00000073, 0, 0
20100112074845R:A1503,0 15,  00000033, 0, 0
20100112074846S:A1503,0015,  00000033,01,00
20100112074846S:A1500,0015,  00000122,1, 0,00
20100112074852R:U1500,0 15,  00000033, 0
20100112074852S:U1500,0 15,  00000033,00
20100112074925R:A1504,0 15,  00000033, 0, 0
20100112074937R:A1501,0 15,  00001031,0, 0
20100112074937R:A1510,0 15,  00001031, 1, 0, 0, 0
20100112074946R:A1510,0 15,  00001031, 9, 0, 0, 0
20100112074951R:A1503,0 15,  00001031, 0, 0
20100112074951S:A1503,0015,  00001031,01,00
20100112074959R:A1501,0 15,  00000103,0, 0
20100112075000R:A1510,0 15,  00000103, 1, 0, 1, 0
20100112075009R:A1510,0 15,  00000103, 9, 0, 1, 0
20100112075011R:U1500,0 15,  00001031, 0
20100112075011S:U1500,0 15,  00001031,00
20100112075020R:A1504,0 15,  00001031, 0, 0
20100112075020R:A1503,0 15,  00000103, 0, 0
20100112075021S:A1503,0015,  00000103,01,00
20100112075026R:U1500,0 15,  00000103, 0
20100112075026S:U1500,0 15,  00000103,00
20100112075045S:A1500,0015,  00001261,1, 0,00
20100112075059R:A1504,0 15,  00000103, 0, 0
20100112075111R:A1501,0 15,  00000122,0, 0
20100112075112R:A1510,0 15,  00000122, 1, 0, 0, 0
20100112075121R:A1510,0 15,  00000122, 9, 0, 0, 0
20100112075125R:A1503,0 15,  00000122, 0, 0
20100112075126S:A1503,0015,  00000122,01,00
20100112075134R:A1501,0 15,  00001261,0, 0
20100112075134R:A1510,0 15,  00001261, 1, 0, 1, 0
20100112075143R:A1510,0 15,  00001261, 9, 0, 1, 0
20100112075145R:U1500,0 15,  00000122, 0
20100112075145S:U1500,0 15,  00000122,00
20100112075152S:A1500,0015,  00001131,1, 0,00
20100112075154R:A1504,0 15,  00000122, 0, 0
20100112075154R:A1503,0 15,  00001261, 0, 0
20100112075155S:A1503,0015,  00001261,01,00
20100112075200R:U1500,0 15,  00001261, 0
20100112075200S:U1500,0 15,  00001261,00
20100112075204S:A1500,0015,  00001188,1, 0,00
20100112075221S:A1500,0015,  00000059,1, 0,00
20100112075233S:A1500,0015,  00001277,1, 0,00
20100112075234R:A1504,0 15,  00001261, 0, 0
20100112075315S:A1500,0015,  00000137,1, 0,00
20100112075336S:A1500,0015,  00001015,1, 0,00
20100112075348S:A1500,0015,  00001129,1, 0,00
20100112075400S:A1500,0015,  00001003,1, 0,00
20100112075421S:A1500,0015,  00000106,1, 0,00
20100112075436S:A1500,0015,  00000125,1, 0,00
20100112075452S:A1500,0015,  00001219,1, 0,00
20100112075719S:A1500,0015,  00000121,1, 0,00
20100112075908S:A1500,0015,  00000092,1, 0,00
20100112080308S:A1500,0015,  00001182,1, 0,00
20100112080323S:A1500,0015,  00001171,1, 0,00
20100112080339S:A1500,0015,  00000081,1, 0,00
20100112080355S:A1500,0015,  00000131,1, 0,00
20100112080411R:A1501,0 15,  00001131,0, 0
20100112080411R:A1510,0 15,  00001131, 1, 0, 0, 0
20100112080420R:A1510,0 15,  00001131, 9, 0, 0, 0
20100112080425R:A1503,0 15,  00001131, 0, 0
20100112080425S:A1503,0015,  00001131,01,00
20100112080428R:A1501,0 15,  00000059,0, 0
20100112080428R:A1510,0 15,  00000059, 1, 0, 1, 0
20100112080437R:A1510,0 15,  00000059, 9, 0, 1, 0
20100112080439R:U1500,0 15,  00001131, 0
20100112080439S:U1500,0 15,  00001131,00
20100112080449R:A1504,0 15,  00001131, 0, 0
20100112080449R:A1503,0 15,  00000059, 0, 0
20100112080449S:A1503,0015,  00000059,01,00
20100112080455R:U1500,0 15,  00000059, 0
20100112080455S:U1500,0 15,  00000059,00
20100112080525S:A1500,0015,  00001253,1, 0,00
20100112080528R:A1504,0 15,  00000059, 0, 0
20100112080539R:A1501,0 15,  00000137,0, 0
20100112080539R:A1510,0 15,  00000137, 1, 0, 0, 0
20100112080548R:A1510,0 15,  00000137, 9, 0, 0, 0
20100112080552R:A1503,0 15,  00000137, 0, 0
20100112080553S:A1503,0015,  00000137,01,00
20100112080603R:A1501,0 15,  00001129,0, 0
20100112080603R:A1510,0 15,  00001129, 1, 0, 1, 0
20100112080608R:U1500,0 15,  00000137, 0
20100112080608S:U1500,0 15,  00000137,00
20100112080611R:A1504,0 15,  00000137, 0, 0
20100112080612R:A1510,0 15,  00001129, 9, 0, 0, 0
20100112080619R:A1503,0 15,  00001129, 0, 0
20100112080619S:A1503,0015,  00001129,01,00
20100112080625R:U1500,0 15,  00001129, 0
20100112080625S:U1500,0 15,  00001129,00
20100112080641S:A1500,0015,  00000136,1, 0,00
20100112080651R:A1504,0 15,  00001129, 0, 0
20100112080703R:A1501,0 15,  00001188,0, 0
20100112080703R:A1510,0 15,  00001188, 1, 0, 0, 0
20100112080712R:A1510,0 15,  00001188, 9, 0, 0, 0
20100112080716R:A1503,0 15,  00001188, 0, 0
20100112080717S:A1503,0015,  00001188,01,00
20100112080723R:A1501,0 15,  00001277,0, 0
20100112080724R:A1510,0 15,  00001277, 1, 0, 1, 0
20100112080733R:A1510,0 15,  00001277, 9, 0, 1, 0
20100112080735R:U1500,0 15,  00001188, 0
20100112080735S:U1500,0 15,  00001188,00
20100112080744R:A1504,0 15,  00001188, 0, 0
20100112080744R:A1503,0 15,  00001277, 0, 0
20100112080745S:A1503,0015,  00001277,01,00
20100112080750R:U1500,0 15,  00001277, 0
20100112080751S:U1500,0 15,  00001277,00
20100112080823R:A1504,0 15,  00001277, 0, 0
20100112080835R:A1501,0 15,  00001015,0, 0
20100112080836R:A1510,0 15,  00001015, 1, 0, 0, 0
20100112080845R:A1510,0 15,  00001015, 9, 0, 0, 0
20100112080849R:A1503,0 15,  00001015, 0, 0
20100112080850S:A1503,0015,  00001015,01,00
20100112080855R:U1500,0 15,  00001015, 0
20100112080855S:U1500,0 15,  00001015,00
20100112080903R:A1504,0 15,  00001015, 0, 0
20100112080938R:A1501,0 15,  00001003,0, 0
20100112080938R:A1510,0 15,  00001003, 1, 0, 0, 0
20100112080947R:A1510,0 15,  00001003, 9, 0, 0, 0
20100112080951R:A1503,0 15,  00001003, 0, 0
20100112080952S:A1503,0015,  00001003,01,00
20100112080959R:A1501,0 15,  00000106,0, 0
20100112080959R:A1510,0 15,  00000106, 1, 0, 1, 0
20100112081008R:A1510,0 15,  00000106, 9, 0, 1, 0
20100112081010R:U1500,0 15,  00001003, 0
20100112081010S:U1500,0 15,  00001003,00
20100112081012S:A1500,0015,  00001186,1, 0,00
20100112081019R:A1504,0 15,  00001003, 0, 0
20100112081019R:A1503,0 15,  00000106, 0, 0
20100112081020S:A1503,0015,  00000106,01,00
20100112081025R:U1500,0 15,  00000106, 0
20100112081025S:U1500,0 15,  00000106,00
20100112081059R:A1504,0 15,  00000106, 0, 0
20100112081111R:A1501,0 15,  00001219,0, 0
20100112081111R:A1510,0 15,  00001219, 1, 0, 0, 0
20100112081120R:A1510,0 15,  00001219, 9, 0, 0, 0
20100112081125R:A1503,0 15,  00001219, 0, 0
20100112081125S:A1503,0015,  00001219,01,00
20100112081131R:U1500,0 15,  00001219, 0
20100112081131S:U1500,0 15,  00001219,00
20100112081139R:A1504,0 15,  00001219, 0, 0
20100112081224S:A1500,0015,  00001295,1, 0,00
20100112081252S:A1500,0015,  00001147,1, 0,00
20100112081322S:A1500,0015,  00001224,1, 0,00
20100112081334S:A1500,0015,  00000023,1, 0,00
20100112081344R:A1501,0 15,  00000125,0, 0
20100112081344R:A1510,0 15,  00000125, 1, 0, 0, 0
20100112081353R:A1510,0 15,  00000125, 9, 0, 0, 0
20100112081358R:A1503,0 15,  00000125, 0, 0
20100112081359S:A1503,0015,  00000125,01,00
20100112081404R:U1500,0 15,  00000125, 0
20100112081404S:U1500,0 15,  00000125,00
20100112081407R:A1504,0 15,  00000125, 0, 0
20100112081715R:A1501,0 15,  00000121,0, 0
20100112081715R:A1510,0 15,  00000121, 1, 0, 0, 0
20100112081724R:A1510,0 15,  00000121, 9, 0, 0, 0
20100112081728R:A1503,0 15,  00000121, 0, 0
20100112081729S:A1500,0015,  00000071,1, 0,00
20100112081729S:A1503,0015,  00000121,01,00
20100112081736R:A1501,0 15,  00000092,0, 0
20100112081736R:A1510,0 15,  00000092, 1, 0, 1, 0
20100112081746R:A1510,0 15,  00000092, 9, 0, 1, 0
20100112081748R:U1500,0 15,  00000121, 0
20100112081748S:U1500,0 15,  00000121,00
20100112081750S:A1500,0015,  00001111,1, 0,00
20100112081757R:A1504,0 15,  00000121, 0, 0
20100112081757R:A1503,0 15,  00000092, 0, 0
20100112081758S:A1503,0015,  00000092,01,00
20100112081803R:U1500,0 15,  00000092, 0
20100112081803S:U1500,0 15,  00000092,00
20100112081836R:A1504,0 15,  00000092, 0, 0
20100112082003R:A1501,0 15,  00001182,0, 0
20100112082003R:A1510,0 15,  00001182, 1, 0, 0, 0
20100112082012R:A1510,0 15,  00001182, 9, 0, 0, 0
20100112082017R:A1503,0 15,  00001182, 0, 0
20100112082017S:A1503,0015,  00001182,01,00
20100112082024R:A1501,0 15,  00001171,0, 0
20100112082024R:A1510,0 15,  00001171, 1, 0, 1, 0
20100112082033R:A1510,0 15,  00001171, 9, 0, 1, 0
20100112082035R:U1500,0 15,  00001182, 0
20100112082035S:U1500,0 15,  00001182,00
20100112082044R:A1504,0 15,  00001182, 0, 0
20100112082044R:A1503,0 15,  00001171, 0, 0
20100112082045S:A1503,0015,  00001171,01,00
20100112082051R:U1500,0 15,  00001171, 0
20100112082051S:U1500,0 15,  00001171,00
20100112082120S:A1500,0015,  00000164,1, 0,00
20100112082124R:A1504,0 15,  00001171, 0, 0
20100112082131S:A1500,0015,  00000036,1, 0,00
20100112082136R:A1501,0 15,  00000081,0, 0
20100112082136R:A1510,0 15,  00000081, 1, 0, 0, 0
20100112082142S:A1500,0015,  00000156,1, 0,00
20100112082145R:A1510,0 15,  00000081, 9, 0, 0, 0
20100112082150R:A1503,0 15,  00000081, 0, 0
20100112082150S:A1503,0015,  00000081,01,00
20100112082155S:A1500,0015,  00000188,1, 0,00
20100112082156R:U1500,0 15,  00000081, 0
20100112082156S:U1500,0 15,  00000081,00
20100112082158R:A1504,0 15,  00000081, 0, 0
20100112082206S:A1500,0015,  00000118,1, 0,00
20100112082224S:A1500,0015,  00001266,1, 0,00
20100112082240S:A1500,0015,  00001261,1, 0,00
20100112082256S:A1500,0015,  00001131,1, 0,00
20100112082316S:A1500,0015,  00000059,1, 0,00
20100112082341S:A1500,0015,  00000137,1, 0,00
20100112082356R:A1501,0 15,  00000131,0, 0
20100112082356R:A1510,0 15,  00000131, 1, 0, 0, 0
20100112082405R:A1510,0 15,  00000131, 9, 0, 0, 0
20100112082410R:A1503,0 15,  00000131, 0, 0
20100112082410S:A1503,0015,  00000131,01,00
20100112082416R:U1500,0 15,  00000131, 0
20100112082416S:U1500,0 15,  00000131,00
20100112082418R:A1504,0 15,  00000131, 0, 0
20100112082430R:A1501,0 15,  00001253,0, 0
20100112082430R:A1510,0 15,  00001253, 1, 0, 0, 0
20100112082439R:A1510,0 15,  00001253, 9, 0, 0, 0
20100112082443R:A1503,0 15,  00001253, 0, 0
20100112082444S:A1503,0015,  00001253,01,00
20100112082449R:U1500,0 15,  00001253, 0
20100112082449S:U1500,0 15,  00001253,00
20100112082458R:A1504,0 15,  00001253, 0, 0
20100112082627R:A1501,0 15,  00000023,0, 0
20100112082627R:A1510,0 15,  00000023, 1, 0, 0, 0
20100112082636R:A1510,0 15,  00000023, 9, 0, 0, 0
20100112082641R:A1503,0 15,  00000023, 0, 0
20100112082641S:A1503,0015,  00000023,01,00
20100112082647R:U1500,0 15,  00000023, 0
20100112082647S:U1500,0 15,  00000023,00
20100112082650R:A1504,0 15,  00000023, 0, 0
20100112082700S:A1500,0015,  00000049,1, 0,00
20100112082711S:A1500,0015,  00001129,1, 0,00
20100112082728S:A1500,0015,  00001188,1, 0,00
20100112082827R:A1501,0 15,  00000136,0, 0
20100112082827R:A1510,0 15,  00000136, 1, 0, 0, 0
20100112082836R:A1510,0 15,  00000136, 9, 0, 0, 0
20100112082841R:A1503,0 15,  00000136, 0, 0
20100112082841S:A1503,0015,  00000136,01,00
20100112082848R:A1501,0 15,  00001186,0, 0
20100112082848R:A1510,0 15,  00001186, 1, 0, 1, 0
20100112082857R:A1510,0 15,  00001186, 9, 0, 1, 0
20100112082859R:U1500,0 15,  00000136, 0
20100112082859S:U1500,0 15,  00000136,00
20100112082908R:A1504,0 15,  00000136, 0, 0
20100112082908R:A1503,0 15,  00001186, 0, 0
20100112082909S:A1503,0015,  00001186,01,00
20100112082915R:U1500,0 15,  00001186, 0
20100112082915S:U1500,0 15,  00001186,00
20100112082948R:A1504,0 15,  00001186, 0, 0
20100112083000R:A1501,0 15,  00001295,0, 0
20100112083000R:A1510,0 15,  00001295, 1, 0, 0, 0
20100112083009R:A1510,0 15,  00001295, 9, 0, 0, 0
20100112083014R:A1503,0 15,  00001295, 0, 0
20100112083014S:A1503,0015,  00001295,01,00
20100112083020R:U1500,0 15,  00001295, 0
20100112083020S:U1500,0 15,  00001295,00
20100112083028R:A1504,0 15,  00001295, 0, 0
20100112083037S:A1500,0015,  00001196,1, 0,00
20100112083047S:A1500,0015,  00001277,1, 0,00
20100112083049R:A1501,0 15,  00001147,0, 0
20100112083049R:A1510,0 15,  00001147, 1, 0, 0, 0
20100112083058R:A1510,0 15,  00001147, 9, 0, 0, 0
20100112083100S:A1500,0015,  00001290,1, 0,00
20100112083102R:A1503,0 15,  00001147, 0, 0
20100112083103S:A1503,0015,  00001147,01,00
20100112083108R:U1500,0 15,  00001147, 0
20100112083108S:U1500,0 15,  00001147,00
20100112083111R:A1504,0 15,  00001147, 0, 0
20100112083123R:A1501,0 15,  00001224,0, 0
20100112083123R:A1510,0 15,  00001224, 1, 0, 0, 0
20100112083132R:A1510,0 15,  00001224, 9, 0, 0, 0
20100112083137R:A1503,0 15,  00001224, 0, 0
20100112083137S:A1503,0015,  00001224,01,00
20100112083143R:U1500,0 15,  00001224, 0
20100112083143S:U1500,0 15,  00001224,00
20100112083151R:A1504,0 15,  00001224, 0, 0
20100112083429R:A1501,0 15,  00000071,0, 0
20100112083429R:A1510,0 15,  00000071, 1, 0, 0, 0
20100112083438R:A1510,0 15,  00000071, 9, 0, 0, 0
20100112083442R:A1503,0 15,  00000071, 0, 0
20100112083443S:A1503,0015,  00000071,01,00
20100112083446R:A1501,0 15,  00001111,0, 0
20100112083446R:A1510,0 15,  00001111, 1, 0, 1, 0
20100112083455R:A1510,0 15,  00001111, 9, 0, 1, 0
20100112083457R:U1500,0 15,  00000071, 0
20100112083457S:U1500,0 15,  00000071,00
20100112083504S:A1500,0015,  00001256,1, 0,00
20100112083506R:A1504,0 15,  00000071, 0, 0
20100112083506R:A1503,0 15,  00001111, 0, 0
20100112083507S:A1503,0015,  00001111,01,00
20100112083512R:U1500,0 15,  00001111, 0
20100112083512S:U1500,0 15,  00001111,00
20100112083516S:A1500,0015,  00000035,1, 0,00
20100112083533S:A1500,0015,  00001027,1, 0,00
20100112083546R:A1504,0 15,  00001111, 0, 0
20100112083649R:A1501,0 15,  00001261,0, 0
20100112083649R:A1510,0 15,  00001261, 1, 0, 0, 0
20100112083658R:A1510,0 15,  00001261, 9, 0, 0, 0
20100112083702R:A1503,0 15,  00001261, 0, 0
20100112083703S:A1503,0015,  00001261,01,00
20100112083705R:A1501,0 15,  00001131,0, 0
20100112083705R:A1510,0 15,  00001131, 1, 0, 1, 0
20100112083714R:A1510,0 15,  00001131, 9, 0, 1, 0
20100112083716R:U1500,0 15,  00001261, 0
20100112083716S:U1500,0 15,  00001261,00
20100112083725R:A1504,0 15,  00001261, 0, 0
20100112083725R:A1503,0 15,  00001131, 0, 0
20100112083726S:A1503,0015,  00001131,01,00
20100112083732R:U1500,0 15,  00001131, 0
20100112083732S:U1500,0 15,  00001131,00
20100112083805R:A1504,0 15,  00001131, 0, 0
20100112083813S:A1500,0015,  00000162,1, 0,00
20100112083816R:A1501,0 15,  00000059,0, 0
20100112083816R:A1510,0 15,  00000059, 1, 0, 0, 0
20100112083825R:A1510,0 15,  00000059, 9, 0, 0, 0
20100112083830R:A1503,0 15,  00000059, 0, 0
20100112083830S:A1503,0015,  00000059,01,00
20100112083836R:U1500,0 15,  00000059, 0
20100112083836S:U1500,0 15,  00000059,00
20100112083845R:A1504,0 15,  00000059, 0, 0
20100112083916R:A1501,0 15,  00000164,0, 0
20100112083916R:A1510,0 15,  00000164, 1, 0, 0, 0
20100112083925R:A1510,0 15,  00000164, 9, 0, 0, 0
20100112083929R:A1503,0 15,  00000164, 0, 0
20100112083930S:A1503,0015,  00000164,01,00
20100112083937R:A1501,0 15,  00000036,0, 0
20100112083937R:A1510,0 15,  00000036, 1, 0, 1, 0
20100112083946R:A1510,0 15,  00000036, 9, 0, 1, 0
20100112083948R:U1500,0 15,  00000164, 0
20100112083948S:U1500,0 15,  00000164,00
20100112083957R:A1504,0 15,  00000164, 0, 0
20100112083957R:A1503,0 15,  00000036, 0, 0
20100112083958S:A1503,0015,  00000036,01,00
20100112084003R:U1500,0 15,  00000036, 0
20100112084003S:U1500,0 15,  00000036,00
20100112084030R:A1504,0 15,  00000036, 0, 0
20100112084042R:A1501,0 15,  00000156,0, 0
20100112084042R:A1510,0 15,  00000156, 1, 0, 0, 0
20100112084051R:A1510,0 15,  00000156, 9, 0, 0, 0
20100112084056R:A1503,0 15,  00000156, 0, 0
20100112084056S:A1503,0015,  00000156,01,00
20100112084102R:U1500,0 15,  00000156, 0
20100112084102S:U1500,0 15,  00000156,00
20100112084110R:A1504,0 15,  00000156, 0, 0
20100112084140S:A1500,0015,  00001022,1, 0,00
20100112084153S:A1500,0015,  00001221,1, 0,00
20100112084205S:A1500,0015,  00000073,1, 0,00
20100112084217S:A1500,0015,  00000033,1, 0,00
20100112084229R:A1501,0 15,  00000188,0, 0
20100112084229R:A1510,0 15,  00000188, 1, 0, 0, 0
20100112084238R:A1510,0 15,  00000188, 9, 0, 0, 0
20100112084241S:A1500,0015,  00001031,1, 0,00
20100112084243R:A1503,0 15,  00000188, 0, 0
20100112084243S:A1503,0015,  00000188,01,00
20100112084249R:U1500,0 15,  00000188, 0
20100112084249S:U1500,0 15,  00000188,00
20100112084252R:A1504,0 15,  00000188, 0, 0
20100112084304R:A1501,0 15,  00000118,0, 0
20100112084304R:A1510,0 15,  00000118, 1, 0, 0, 0
20100112084313R:A1510,0 15,  00000118, 9, 0, 0, 0
20100112084317R:A1503,0 15,  00000118, 0, 0
20100112084318S:A1503,0015,  00000118,01,00
20100112084325R:A1501,0 15,  00001266,0, 0
20100112084325R:A1510,0 15,  00001266, 1, 0, 1, 0
20100112084334R:A1510,0 15,  00001266, 9, 0, 1, 0
20100112084336R:U1500,0 15,  00000118, 0
20100112084336S:U1500,0 15,  00000118,00
20100112084346R:A1504,0 15,  00000118, 0, 0
20100112084346R:A1503,0 15,  00001266, 0, 0
20100112084346S:A1503,0015,  00001266,01,00
20100112084348S:A1500,0015,  00000122,1, 0,00
20100112084352R:U1500,0 15,  00001266, 0
20100112084352S:U1500,0 15,  00001266,00
20100112084425R:A1504,0 15,  00001266, 0, 0
20100112084453R:A1501,0 15,  00000137,0, 0
20100112084454R:A1510,0 15,  00000137, 1, 0, 0, 0
20100112084503R:A1510,0 15,  00000137, 9, 0, 0, 0
20100112084507R:A1503,0 15,  00000137, 0, 0
20100112084508S:A1503,0015,  00000137,01,00
20100112084510R:A1501,0 15,  00000049,0, 0
20100112084510R:A1510,0 15,  00000049, 1, 0, 1, 0
20100112084519R:A1510,0 15,  00000049, 9, 0, 1, 0
20100112084521R:U1500,0 15,  00000137, 0
20100112084521S:U1500,0 15,  00000137,00
20100112084530R:A1504,0 15,  00000137, 0, 0
20100112084530R:A1503,0 15,  00000049, 0, 0
20100112084531S:A1503,0015,  00000049,01,00
20100112084536R:U1500,0 15,  00000049, 0
20100112084536S:U1500,0 15,  00000049,00
20100112084610R:A1504,0 15,  00000049, 0, 0
20100112084614S:A1500,0015,  00000103,1, 0,00
20100112084621R:A1501,0 15,  00001129,0, 0
20100112084621R:A1510,0 15,  00001129, 1, 0, 0, 0
20100112084630R:A1510,0 15,  00001129, 9, 0, 0, 0
20100112084632S:A1500,0015,  00000011,1, 0,00
