20100109085342S:A1500,0015,  00000063,1, 0,00
20100109085918R:A1501,0 15,  00001282,0, 0
20100109085918R:A1510,0 15,  00001282, 1, 0, 1, 0
20100109085919S:A1500,0015,  00000078,1, 0,00
20100109085927R:A1510,0 15,  00001282, 9, 0, 1, 0
20100109085929R:U1500,0 15,  00001112, 0
20100109085929S:U1500,0 15,  00001112,00
20100109085938R:A1504,0 15,  00001112, 0, 0
20100109085938R:A1503,0 15,  00001282, 0, 0
20100109085939S:A1503,0015,  00001282,01,00
20100109085941S:A1500,0015,  00000035,1, 0,00
20100109085944R:U1500,0 15,  00001282, 0
20100109085945S:U1500,0 15,  00001282,00
20100109090018R:A1504,0 15,  00001282, 0, 0
20100109090030R:A1501,0 15,  00000041,0, 0
20100109090030R:A1510,0 15,  00000041, 1, 0, 0, 0
20100109090039R:A1510,0 15,  00000041, 9, 0, 0, 0
20100109090044R:A1503,0 15,  00000041, 0, 0
20100109090044S:A1503,0015,  00000041,01,00
20100109090053R:A1501,0 15,  00000078,0, 0
20100109090053R:A1510,0 15,  00000078, 1, 0, 1, 0
20100109090100S:A1500,0015,  00001017,1, 0,00
20100109090102R:A1510,0 15,  00000078, 9, 0, 1, 0
20100109090104R:U1500,0 15,  00000041, 0
20100109090104S:U1500,0 15,  00000041,00
20100109090113R:A1504,0 15,  00000041, 0, 0
20100109090113R:A1503,0 15,  00000078, 0, 0
20100109090113S:A1503,0015,  00000078,01,00
20100109090119R:U1500,0 15,  00000078, 0
20100109090119S:U1500,0 15,  00000078,00
20100109090120S:A1500,0015,  00000086,1, 0,00
20100109090152R:A1504,0 15,  00000078, 0, 0
20100109090204R:A1501,0 15,  00000035,0, 0
20100109090205R:A1510,0 15,  00000035, 1, 0, 0, 0
20100109090214R:A1510,0 15,  00000035, 9, 0, 0, 0
20100109090218R:A1503,0 15,  00000035, 0, 0
20100109090218S:A1503,0015,  00000035,01,00
20100109090227R:A1501,0 15,  00001017,0, 0
20100109090227R:A1510,0 15,  00001017, 1, 0, 1, 0
20100109090228S:A1500,0015,  00001215,1, 0,00
20100109090236R:A1510,0 15,  00001017, 9, 0, 1, 0
20100109090238R:U1500,0 15,  00000035, 0
20100109090238S:U1500,0 15,  00000035,00
20100109090247R:A1504,0 15,  00000035, 0, 0
20100109090248R:A1503,0 15,  00001017, 0, 0
20100109090248S:A1503,0015,  00001017,01,00
20100109090254R:U1500,0 15,  00001017, 0
20100109090254S:U1500,0 15,  00001017,00
20100109090303S:A1500,0015,  00000111,1, 0,00
20100109090327R:A1504,0 15,  00001017, 0, 0
20100109090339R:A1501,0 15,  00000086,0, 0
20100109090339R:A1510,0 15,  00000086, 1, 0, 0, 0
20100109090348R:A1510,0 15,  00000086, 9, 0, 0, 0
20100109090353R:A1503,0 15,  00000086, 0, 0
20100109090353S:A1503,0015,  00000086,01,00
20100109090401R:A1501,0 15,  00001215,0, 0
20100109090401R:A1510,0 15,  00001215, 1, 0, 1, 0
20100109090402S:A1500,0015,  00000142,1, 0,00
20100109090410R:A1510,0 15,  00001215, 9, 0, 1, 0
20100109090412R:U1500,0 15,  00000086, 0
20100109090412S:U1500,0 15,  00000086,00
20100109090422R:A1504,0 15,  00000086, 0, 0
20100109090422R:A1503,0 15,  00001215, 0, 0
20100109090423S:A1503,0015,  00001215,01,00
20100109090430S:A1500,0015,  00000080,1, 0,00
20100109090434R:A1501,0 15,  00000111,0, 0
20100109090434R:A1510,0 15,  00000111, 1, 0, 1, 0
20100109090440R:U1500,0 15,  00001215, 0
20100109090440S:U1500,0 15,  00001215,00
20100109090443R:A1510,0 15,  00000111, 9, 0, 0, 0
20100109090458S:A1500,0015,  00000093,1, 0,00
20100109090501R:A1504,0 15,  00001215, 0, 0
20100109090501R:A1503,0 15,  00000111, 0, 0
20100109090503S:A1503,0015,  00000111,01,00
20100109090513R:A1501,0 15,  00000142,0, 0
20100109090514R:A1510,0 15,  00000142, 1, 0, 1, 0
20100109090519R:U1500,0 15,  00000111, 0
20100109090519S:U1500,0 15,  00000111,00
20100109090522R:A1510,0 15,  00000142, 9, 0, 0, 0
20100109090536S:A1500,0015,  00001293,1, 0,00
20100109090541R:A1504,0 15,  00000111, 0, 0
20100109090541R:A1503,0 15,  00000142, 0, 0
20100109090542S:A1503,0015,  00000142,01,00
20100109090547R:U1500,0 15,  00000142, 0
20100109090547S:U1500,0 15,  00000142,00
20100109090621R:A1504,0 15,  00000142, 0, 0
20100109090633R:A1501,0 15,  00000080,0, 0
20100109090634R:A1510,0 15,  00000080, 1, 0, 0, 0
20100109090643R:A1510,0 15,  00000080, 9, 0, 0, 0
20100109090647R:A1503,0 15,  00000080, 0, 0
20100109090647S:A1503,0015,  00000080,01,00
20100109090656R:A1501,0 15,  00000093,0, 0
20100109090656R:A1510,0 15,  00000093, 1, 0, 1, 0
20100109090657S:A1500,0015,  00000195,1, 0,00
20100109090705R:A1510,0 15,  00000093, 9, 0, 1, 0
20100109090707R:U1500,0 15,  00000080, 0
20100109090707S:U1500,0 15,  00000080,00
20100109090716R:A1504,0 15,  00000080, 0, 0
20100109090716R:A1503,0 15,  00000093, 0, 0
20100109090719S:A1500,0015,  00001195,1, 0,00
20100109090722S:A1503,0015,  00000093,01,00
20100109090728R:A1501,0 15,  00001293,0, 0
20100109090728R:A1510,0 15,  00001293, 1, 0, 1, 0
20100109090738R:A1510,0 15,  00001293, 9, 0, 1, 0
20100109090740R:U1500,0 15,  00000093, 0
20100109090740S:U1500,0 15,  00000093,00
20100109090752S:A1500,0015,  00000151,1, 0,00
20100109090756R:A1504,0 15,  00000093, 0, 0
20100109090756R:A1503,0 15,  00001293, 0, 0
20100109090808R:A1501,0 15,  00000195,0, 0
20100109090808R:A1510,0 15,  00000195, 1, 0, 1, 0
20100109090810S:A1503,0015,  00001293,01,00
20100109090817R:A1510,0 15,  00000195, 9, 0, 1, 0
20100109090819R:U1500,0 15,  00001293, 0
20100109090819S:U1500,0 15,  00001293,00
20100109090831S:A1500,0015,  00001289,1, 0,00
20100109090836R:A1504,0 15,  00001293, 0, 0
20100109090836R:A1503,0 15,  00000195, 0, 0
20100109090848R:A1501,0 15,  00001195,0, 0
20100109090849R:A1510,0 15,  00001195, 1, 0, 1, 0
20100109090854S:A1503,0015,  00000195,01,00
20100109090858R:A1510,0 15,  00001195, 9, 0, 1, 0
20100109090900R:U1500,0 15,  00000195, 0
20100109090900S:U1500,0 15,  00000195,00
20100109090912S:A1500,0015,  00000173,1, 0,00
20100109090916R:A1504,0 15,  00000195, 0, 0
20100109090916R:A1503,0 15,  00001195, 0, 0
20100109090928R:A1501,0 15,  00000151,0, 0
20100109090928R:A1510,0 15,  00000151, 1, 0, 1, 0
20100109090937R:A1510,0 15,  00000151, 9, 0, 1, 0
20100109090948S:A1503,0015,  00001195,01,00
20100109090951R:A1501,0 15,  00001289,0, 0
20100109090951R:A1510,0 15,  00001289, 1, 0, 2, 0
20100109091000R:A1510,0 15,  00001289, 9, 0, 2, 0
20100109091002R:U1500,0 15,  00001195, 0
20100109091002S:U1500,0 15,  00001195,00
20100109091011R:A1504,0 15,  00001195, 0, 0
20100109091011R:A1503,0 15,  00000151, 0, 0
20100109091023R:A1501,0 15,  00000173,0, 0
20100109091023R:A1510,0 15,  00000173, 1, 0, 2, 0
20100109091027R:D1500,0 15,  00001195, 1
20100109091032R:A1510,0 15,  00000173, 9, 0, 2, 0
20100109091034S:A1503,0015,  00000151,01,00
20100109091040R:U1500,0 15,  00000151, 0
20100109091040S:U1500,0 15,  00000151,00
20100109091204R:A1504,0 15,  00000151, 0, 0
20100109091205R:A1503,0 15,  00001289, 0, 0
20100109091205S:A1503,0015,  00001289,01,00
20100109091211R:U1500,0 15,  00001289, 0
20100109091211S:U1500,0 15,  00001289,00
20100109091244R:A1504,0 15,  00001289, 0, 0
20100109091245R:A1503,0 15,  00000173, 0, 0
20100109091245S:A1503,0015,  00000173,01,00
20100109091251R:U1500,0 15,  00000173, 0
20100109091251S:U1500,0 15,  00000173,00
20100109091325R:A1504,0 15,  00000173, 0, 0
20100109091325R:I1503,0 15,0100, 0, 0, 0, 0
20100109091400S:A1500,0015,  00001033,1, 0,00
20100109091400R:I1503,0 15,0101, 0, 0, 0, 0
20100109091429R:A1501,0 15,  00001033,0, 0
20100109091429R:A1510,0 15,  00001033, 1, 0, 0, 0
20100109091433S:A1500,0015,  00001035,1, 0,00
20100109091438R:A1510,0 15,  00001033, 9, 0, 0, 0
20100109091442R:A1503,0 15,  00001033, 0, 0
20100109091443S:A1503,0015,  00001033,01,00
20100109091448R:U1500,0 15,  00001033, 0
20100109091448S:U1500,0 15,  00001033,00
20100109091451R:A1504,0 15,  00001033, 0, 0
20100109091503R:A1501,0 15,  00001035,0, 0
20100109091503R:A1510,0 15,  00001035, 1, 0, 0, 0
20100109091512R:A1510,0 15,  00001035, 9, 0, 0, 0
20100109091517R:A1503,0 15,  00001035, 0, 0
20100109091518S:A1503,0015,  00001035,01,00
20100109091524R:U1500,0 15,  00001035, 0
20100109091524S:U1500,0 15,  00001035,00
20100109091530S:A1500,0015,  00001131,1, 0,00
20100109091530R:A1504,0 15,  00001035, 0, 0
20100109091531R:I1503,0 15,0100, 0, 0, 0, 0
20100109091531R:I1503,0 15,0101, 0, 0, 0, 0
20100109091559R:A1501,0 15,  00001131,0, 0
20100109091559R:A1510,0 15,  00001131, 1, 0, 0, 0
20100109091608R:A1510,0 15,  00001131, 9, 0, 0, 0
20100109091613R:A1503,0 15,  00001131, 0, 0
20100109091613S:A1503,0015,  00001131,01,00
20100109091619R:U1500,0 15,  00001131, 0
20100109091619S:U1500,0 15,  00001131,00
20100109091622R:A1504,0 15,  00001131, 0, 0
20100109091622R:I1503,0 15,0100, 0, 0, 0, 0
20100109091652S:A1500,0015,  00001016,1, 0,00
20100109091653R:I1503,0 15,0101, 0, 0, 0, 0
20100109091705S:A1500,0015,  00001139,1, 0,00
20100109091722R:A1501,0 15,  00001016,0, 0
20100109091722R:A1510,0 15,  00001016, 1, 0, 0, 0
20100109091722S:A1500,0015,  00001116,1, 0,00
20100109091731R:A1510,0 15,  00001016, 9, 0, 0, 0
20100109091735R:A1503,0 15,  00001016, 0, 0
20100109091735S:A1503,0015,  00001016,01,00
20100109091744R:A1501,0 15,  00001139,0, 0
20100109091744R:A1510,0 15,  00001139, 1, 0, 1, 0
20100109091753R:A1510,0 15,  00001139, 9, 0, 1, 0
20100109091755R:U1500,0 15,  00001016, 0
20100109091755S:U1500,0 15,  00001016,00
20100109091804R:A1504,0 15,  00001016, 0, 0
20100109091805R:A1503,0 15,  00001139, 0, 0
20100109091805S:A1503,0015,  00001139,01,00
20100109091810S:A1500,0015,  00001132,1, 0,00
20100109091811R:U1500,0 15,  00001139, 0
20100109091811S:U1500,0 15,  00001139,00
20100109091825S:A1500,0015,  00001217,1, 0,00
20100109091844R:A1504,0 15,  00001139, 0, 0
20100109091856R:A1501,0 15,  00001116,0, 0
20100109091857R:A1510,0 15,  00001116, 1, 0, 0, 0
20100109091906R:A1510,0 15,  00001116, 9, 0, 0, 0
20100109091910R:A1503,0 15,  00001116, 0, 0
20100109091911S:A1503,0015,  00001116,01,00
20100109091919R:A1501,0 15,  00001132,0, 0
20100109091919R:A1510,0 15,  00001132, 1, 0, 1, 0
20100109091928R:A1510,0 15,  00001132, 9, 0, 1, 0
20100109091930R:U1500,0 15,  00001116, 0
20100109091930S:U1500,0 15,  00001116,00
20100109091939R:A1504,0 15,  00001116, 0, 0
20100109091939R:A1503,0 15,  00001132, 0, 0
20100109091940S:A1503,0015,  00001132,01,00
20100109091946R:U1500,0 15,  00001132, 0
20100109091946S:U1500,0 15,  00001132,00
20100109092019R:A1504,0 15,  00001132, 0, 0
20100109092031R:A1501,0 15,  00001217,0, 0
20100109092031R:A1510,0 15,  00001217, 1, 0, 0, 0
20100109092040R:A1510,0 15,  00001217, 9, 0, 0, 0
20100109092044R:A1503,0 15,  00001217, 0, 0
20100109092045S:A1503,0015,  00001217,01,00
20100109092050R:U1500,0 15,  00001217, 0
20100109092050S:U1500,0 15,  00001217,00
20100109092059R:A1504,0 15,  00001217, 0, 0
20100109092059R:I1503,0 15,0100, 0, 0, 0, 0
20100109092123S:A1500,0015,  00001273,1, 0,00
20100109092123R:I1503,0 15,0101, 0, 0, 0, 0
20100109092143S:A1500,0015,  00001267,1, 0,00
20100109092151R:A1501,0 15,  00001273,0, 0
20100109092151R:A1510,0 15,  00001273, 1, 0, 0, 0
20100109092200R:A1510,0 15,  00001273, 9, 0, 0, 0
20100109092205R:A1503,0 15,  00001273, 0, 0
20100109092205S:A1503,0015,  00001273,01,00
20100109092209S:A1500,0015,  00001134,1, 0,00
20100109092214R:A1501,0 15,  00001267,0, 0
20100109092214R:A1510,0 15,  00001267, 1, 0, 1, 0
20100109092223R:A1510,0 15,  00001267, 9, 0, 1, 0
20100109092225R:U1500,0 15,  00001273, 0
20100109092225S:U1500,0 15,  00001273,00
20100109092231S:A1500,0015,  00000020,1, 0,00
20100109092234R:A1504,0 15,  00001273, 0, 0
20100109092234R:A1503,0 15,  00001267, 0, 0
20100109092246R:A1501,0 15,  00001134,0, 0
20100109092246R:A1510,0 15,  00001134, 1, 0, 1, 0
20100109092255R:A1510,0 15,  00001134, 9, 0, 1, 0
20100109092256S:A1500,0015,  00001027,1, 0,00
20100109092309R:A1501,0 15,  00000020,0, 0
20100109092309R:A1510,0 15,  00000020, 1, 0, 2, 0
20100109092318R:A1510,0 15,  00000020, 9, 0, 2, 0
20100109092331R:A1501,0 15,  00001027,0, 0
20100109092331R:A1510,0 15,  00001027, 1, 0, 3, 0
20100109092340R:A1510,0 15,  00001027, 9, 0, 3, 0
20100109092503S:A1500,0015,  00000086,1, 0,00
20100109092532R:A1501,0 15,  00000086,0, 0
20100109092532R:A1510,0 15,  00000086, 1, 0, 4, 0
20100109092541R:A1510,0 15,  00000086, 9, 0, 4, 0
20100109092644S:A1500,0015,  00001215,1, 0,00
20100109092835S:A1503,0015,  00001267,01,00
20100109092840R:U1500,0 15,  00001267, 0
20100109092840S:U1500,0 15,  00001267,00
20100109092843R:A1504,0 15,  00001267, 0, 0
20100109092843R:A1503,0 15,  00001134, 0, 0
20100109093116S:A1503,0015,  00001134,01,00
20100109093122R:U1500,0 15,  00001134, 0
20100109093122S:U1500,0 15,  00001134,00
20100109093124R:A1504,0 15,  00001134, 0, 0
20100109093124R:A1503,0 15,  00000020, 0, 0
20100109093310S:A1503,0015,  00000020,01,00
20100109093315R:U1500,0 15,  00000020, 0
20100109093315S:U1500,0 15,  00000020,00
20100109093318R:A1504,0 15,  00000020, 0, 0
20100109093318R:A1503,0 15,  00001027, 0, 0
20100109093448S:A1503,0015,  00001027,01,00
20100109093454R:U1500,0 15,  00001027, 0
20100109093454S:U1500,0 15,  00001027,00
20100109093457R:A1504,0 15,  00001027, 0, 0
20100109093457R:A1503,0 15,  00000086, 0, 0
20100109093713R:A1501,0 15,  00001215,0, 0
20100109093713R:A1510,0 15,  00001215, 1, 0, 1, 0
20100109093722R:A1510,0 15,  00001215, 9, 0, 1, 0
20100109093808S:A1503,0015,  00000086,01,00
20100109093814R:U1500,0 15,  00000086, 0
20100109093814S:U1500,0 15,  00000086,00
20100109093816R:A1504,0 15,  00000086, 0, 0
20100109093817R:A1503,0 15,  00001215, 0, 0
20100109094026S:A1503,0015,  00001215,01,00
20100109094031R:U1500,0 15,  00001215, 0
20100109094031S:U1500,0 15,  00001215,00
20100109094034R:A1504,0 15,  00001215, 0, 0
20100109094034R:I1503,0 15,0100, 0, 0, 0, 0
20100109094120S:A1500,0015,  00000142,1, 0,00
20100109094121R:I1503,0 15,0101, 0, 0, 0, 0
20100109095108S:A1500,0015,  00001131,1, 0,00
20100109095215R:A1501,0 15,  00000142,0, 0
20100109095216R:A1510,0 15,  00000142, 1, 0, 0, 0
20100109095225R:A1510,0 15,  00000142, 9, 0, 0, 0
20100109095229R:A1503,0 15,  00000142, 0, 0
20100109095229S:A1503,0015,  00000142,01,00
20100109095235R:U1500,0 15,  00000142, 0
20100109095235S:U1500,0 15,  00000142,00
20100109095238R:A1504,0 15,  00000142, 0, 0
20100109095649S:A1500,0015,  00001016,1, 0,00
20100109100059R:A1501,0 15,  00001131,0, 0
20100109100059R:A1510,0 15,  00001131, 1, 0, 0, 0
20100109100108R:A1510,0 15,  00001131, 9, 0, 0, 0
20100109100113R:A1503,0 15,  00001131, 0, 0
20100109100113S:A1503,0015,  00001131,01,00
20100109100119R:U1500,0 15,  00001131, 0
20100109100119S:U1500,0 15,  00001131,00
20100109100121R:A1504,0 15,  00001131, 0, 0
20100109100507S:A1500,0015,  00001139,1, 0,00
20100109100726R:A1501,0 15,  00001016,0, 0
20100109100726R:A1510,0 15,  00001016, 1, 0, 0, 0
20100109100735R:A1510,0 15,  00001016, 9, 0, 0, 0
20100109100740R:A1503,0 15,  00001016, 0, 0
20100109100740S:A1503,0015,  00001016,01,00
20100109100746R:U1500,0 15,  00001016, 0
20100109100746S:U1500,0 15,  00001016,00
20100109100749R:A1504,0 15,  00001016, 0, 0
20100109100822S:A1500,0015,  00001116,1, 0,00
20100109101302S:A1500,0015,  00001132,1, 0,00
20100109101529R:A1501,0 15,  00001139,0, 0
20100109101529R:A1510,0 15,  00001139, 1, 0, 0, 0
20100109101538R:A1510,0 15,  00001139, 9, 0, 0, 0
20100109101543R:A1503,0 15,  00001139, 0, 0
20100109101543S:A1503,0015,  00001139,01,00
20100109101549R:U1500,0 15,  00001139, 0
20100109101549S:U1500,0 15,  00001139,00
20100109101552R:A1504,0 15,  00001139, 0, 0
20100109101818S:A1500,0015,  00000020,1, 0,00
20100109101853R:A1501,0 15,  00001116,0, 0
20100109101853R:A1510,0 15,  00001116, 1, 0, 0, 0
20100109101902R:A1510,0 15,  00001116, 9, 0, 0, 0
20100109101907R:A1503,0 15,  00001116, 0, 0
20100109101907S:A1503,0015,  00001116,01,00
20100109101913R:U1500,0 15,  00001116, 0
20100109101913S:U1500,0 15,  00001116,00
20100109101915R:A1504,0 15,  00001116, 0, 0
20100109102307S:A1500,0015,  00001027,1, 0,00
20100109102336R:A1501,0 15,  00001132,0, 0
20100109102336R:A1510,0 15,  00001132, 1, 0, 0, 0
20100109102345R:A1510,0 15,  00001132, 9, 0, 0, 0
20100109102349R:A1503,0 15,  00001132, 0, 0
20100109102350S:A1503,0015,  00001132,01,00
20100109102355R:U1500,0 15,  00001132, 0
20100109102355S:U1500,0 15,  00001132,00
20100109102358R:A1504,0 15,  00001132, 0, 0
20100109102844R:A1501,0 15,  00000020,0, 0
20100109102844R:A1510,0 15,  00000020, 1, 0, 0, 0
20100109102853R:A1510,0 15,  00000020, 9, 0, 0, 0
20100109102857R:A1503,0 15,  00000020, 0, 0
20100109102858S:A1503,0015,  00000020,01,00
20100109102903R:U1500,0 15,  00000020, 0
20100109102903S:U1500,0 15,  00000020,00
20100109102906R:A1504,0 15,  00000020, 0, 0
20100109103357R:A1501,0 15,  00001027,0, 0
20100109103357R:A1510,0 15,  00001027, 1, 0, 0, 0
20100109103406R:A1510,0 15,  00001027, 9, 0, 0, 0
20100109103410R:A1503,0 15,  00001027, 0, 0
20100109103411S:A1503,0015,  00001027,01,00
20100109103416R:U1500,0 15,  00001027, 0
20100109103416S:U1500,0 15,  00001027,00
20100109103419R:A1504,0 15,  00001027, 0, 0
20100109103419R:I1503,0 15,0100, 0, 0, 0, 0
20100109104700S:A1500,0015,  00000173,1, 0,00
20100109104700R:I1503,0 15,0101, 0, 0, 0, 0
20100109104958S:A1500,0015,  00001033,1, 0,00
20100109105701S:A1500,0015,  00001131,1, 0,00
20100109105814R:A1501,0 15,  00000173,0, 0
20100109105814R:A1510,0 15,  00000173, 1, 0, 0, 0
20100109105823R:A1510,0 15,  00000173, 9, 0, 0, 0
20100109105827R:A1503,0 15,  00000173, 0, 0
20100109105828S:A1503,0015,  00000173,01,00
20100109105833R:U1500,0 15,  00000173, 0
20100109105833S:U1500,0 15,  00000173,00
20100109105836R:A1504,0 15,  00000173, 0, 0
20100109110033R:A1501,0 15,  00001033,0, 0
20100109110033R:A1510,0 15,  00001033, 1, 0, 0, 0
20100109110042R:A1510,0 15,  00001033, 9, 0, 0, 0
20100109110047R:A1503,0 15,  00001033, 0, 0
20100109110047S:A1503,0015,  00001033,01,00
20100109110053R:U1500,0 15,  00001033, 0
20100109110053S:U1500,0 15,  00001033,00
20100109110056R:A1504,0 15,  00001033, 0, 0
20100109110726R:A1501,0 15,  00001131,0, 0
20100109110726R:A1510,0 15,  00001131, 1, 0, 0, 0
20100109110735R:A1510,0 15,  00001131, 9, 0, 0, 0
20100109110740R:A1503,0 15,  00001131, 0, 0
20100109110740S:A1503,0015,  00001131,01,00
20100109110746R:U1500,0 15,  00001131, 0
20100109110746S:U1500,0 15,  00001131,00
20100109110748R:A1504,0 15,  00001131, 0, 0
20100109110748R:I1503,0 15,0100, 0, 0, 0, 0
