NO,°ø±ÞÀÏ,°ø±Þ½Ã°£,Ç÷¾×¸í,Ç÷¾×ÄÚµå,Ã¤Ç÷·®mL,Ç÷¾×¹øÈ£,Ã¤Ç÷ÀÏ,Ã¤Ç÷½Ã°£,Á¦Á¦ÀÏ,Á¦Á¦½Ã°£,Ç÷¾×Çü,´Ü°¡,Ãâ°íÀÎ
19,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-017989,2012-05-24,13:39,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
20,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-041106,2012-05-24,15:42,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
21,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-018000,2012-05-24,15:47,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
22,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-041102,2012-05-24,14:10,2012-05-24,18:05,O (+),"40,710",ÀÌÈ²
23,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059453,2012-05-19,18:37,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
24,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059456,2012-05-19,19:15,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
25,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-017867,2012-05-22,16:00,2012-05-22,19:20,A (+),"40,710",ÀÌÈ²
26,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021167,2012-05-22,13:12,2012-05-22,19:20,A (+),"40,710",ÀÌÈ²
27,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-035878,2012-05-22,14:05,2012-05-22,19:20,AB(+),"40,710",ÀÌÈ²
28,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058299,2012-05-15,15:58,2012-05-15,21:00,AB(+),"40,710",ÀÌÈ²
29,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-017793,2012-05-22,09:45,2012-05-22,15:18,A (+),"40,710",ÀÌÈ²
30,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-057564,2012-05-22,11:52,2012-05-22,15:18,A (+),"40,710",ÀÌÈ²
31,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-057567,2012-05-22,13:40,2012-05-22,15:18,A (+),"40,710",ÀÌÈ²
32,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021137,2012-05-22,09:25,2012-05-22,15:18,A (+),"40,710",ÀÌÈ²
33,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058471,2012-05-22,18:02,2012-05-22,21:20,A (+),"40,710",ÀÌÈ²
34,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059640,2012-05-22,10:31,2012-05-22,16:30,A (+),"40,710",ÀÌÈ²
35,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059647,2012-05-22,16:16,2012-05-22,18:50,A (+),"40,710",ÀÌÈ²
36,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059601,2012-05-20,15:20,2012-05-20,20:30,B (+),"40,710",ÀÌÈ²
37,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-057532,2012-05-20,14:31,2012-05-20,20:30,B (+),"40,710",ÀÌÈ²
38,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058432,2012-05-20,14:58,2012-05-20,20:30,B (+),"40,710",ÀÌÈ²
39,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058437,2012-05-20,16:30,2012-05-20,20:30,B (+),"40,710",ÀÌÈ²
40,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-019720,2012-05-22,14:40,2012-05-22,19:20,A (+),"40,710",ÀÌÈ²
41,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-019731,2012-05-22,15:20,2012-05-22,19:20,AB(+),"40,710",ÀÌÈ²
42,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-019705,2012-05-22,13:45,2012-05-22,19:20,A (+),"40,710",ÀÌÈ²
43,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021216,2012-05-22,18:20,2012-05-22,21:20,A (+),"40,710",ÀÌÈ²
44,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-039402,2012-05-22,17:15,2012-05-22,21:20,A (+),"40,710",ÀÌÈ²
45,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-057473,2012-05-22,18:46,2012-05-22,21:20,A (+),"40,710",ÀÌÈ²
46,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059589,2012-05-20,12:15,2012-05-20,15:50,B (+),"40,710",ÀÌÈ²
47,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059462,2012-05-20,12:20,2012-05-20,15:50,B (+),"40,710",ÀÌÈ²
48,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059588,2012-05-20,12:06,2012-05-20,15:50,B (+),"40,710",ÀÌÈ²
49,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059587,2012-05-20,11:37,2012-05-20,15:50,B (+),"40,710",ÀÌÈ²
50,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059351,2012-05-15,15:01,2012-05-15,19:20,AB(+),"40,710",ÀÌÈ²
51,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-021315,2012-05-24,10:00,2012-05-24,14:30,O (+),"40,710",ÀÌÈ²
52,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-060847,2012-05-24,16:29,2012-05-24,20:30,O (+),"40,710",ÀÌÈ²
53,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-039887,2012-05-24,15:45,2012-05-24,20:30,O (+),"40,710",ÀÌÈ²
54,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-060829,2012-05-23,13:06,2012-05-23,16:16,A (+),"40,710",ÀÌÈ²
55,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-033444,2012-05-23,14:44,2012-05-23,16:16,A (+),"40,710",ÀÌÈ²
56,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-033442,2012-05-23,13:45,2012-05-23,16:16,A (+),"40,710",ÀÌÈ²
57,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-033443,2012-05-23,14:36,2012-05-23,16:16,A (+),"40,710",ÀÌÈ²
58,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-033440,2012-05-23,10:30,2012-05-23,16:16,A (+),"40,710",ÀÌÈ²
59,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-039866,2012-05-23,11:38,2012-05-23,16:16,A (+),"40,710",ÀÌÈ²
60,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059551,2012-05-19,13:28,2012-05-19,16:19,B (+),"40,710",ÀÌÈ²
61,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059546,2012-05-19,11:45,2012-05-19,16:19,B (+),"40,710",ÀÌÈ²
62,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059544,2012-05-19,11:34,2012-05-19,16:19,B (+),"40,710",ÀÌÈ²
63,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059545,2012-05-19,11:36,2012-05-19,16:19,B (+),"40,710",ÀÌÈ²
64,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059541,2012-05-19,11:02,2012-05-19,16:19,B (+),"40,710",ÀÌÈ²
65,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059675,2012-05-24,18:03,2012-05-24,20:52,O (+),"40,710",ÀÌÈ²
66,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-059724,2012-05-24,17:14,2012-05-24,20:52,O (+),"40,710",ÀÌÈ²
67,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-057608,2012-05-24,18:52,2012-05-24,20:52,O (+),"40,710",ÀÌÈ²
68,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058406,2012-05-19,16:26,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
69,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058400,2012-05-19,14:10,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
70,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058401,2012-05-19,14:11,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
71,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058398,2012-05-19,13:51,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
72,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-058390,2012-05-19,09:59,2012-05-19,21:20,B (+),"40,710",ÀÌÈ²
73,2012-05-29,09:27,³óÃàÀûÇ÷±¸,4063,320,10-12-060843,2012-05-24,13:40,2012-05-24,16:02,O (+),"40,710",ÀÌÈ²
74,2012-05-29,09:27,³óÃàÇ÷¼ÒÆÇ,12003,320,10-12-020863,2012-05-25,11:50,2012-05-25,14:38,AB(+),"38,230",ÀÌÈ²
75,2012-05-29,09:27,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-019965,2012-05-26,10:50,2012-05-26,15:20,AB(+),"42,360",ÀÌÈ²
76,2012-05-29,09:27,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041227,2012-05-26,14:13,2012-05-26,17:50,AB(+),"42,360",ÀÌÈ²
77,2012-05-29,09:27,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-019962,2012-05-26,10:43,2012-05-26,15:20,AB(+),"42,360",ÀÌÈ²
78,2012-05-29,09:27,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041217,2012-05-26,12:06,2012-05-26,15:20,AB(+),"42,360",ÀÌÈ²
79,2012-05-29,09:27,³óÃàÇ÷¼ÒÆÇ,12004,400,10-12-041186,2012-05-26,10:07,2012-05-26,15:20,AB(+),"42,360",ÀÌÈ²
80,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-018857,2012-05-19,10:00,2012-05-19,15:01,O (+),"44,860",ÀÌÈ²
81,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-036736,2012-04-23,12:00,2012-04-23,16:55,A (+),"44,860",ÀÌÈ²
82,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-013308,2012-04-23,15:30,2012-04-23,19:46,A (+),"44,860",ÀÌÈ²
83,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-004726,2012-05-09,12:10,2012-05-09,15:10,O (+),"44,860",ÀÌÈ²
84,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-038671,2012-04-23,14:21,2012-04-23,16:55,A (+),"44,860",ÀÌÈ²
85,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-014609,2012-04-23,16:06,2012-04-23,19:46,A (+),"44,860",ÀÌÈ²
86,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-015520,2012-04-23,15:20,2012-04-23,19:46,A (+),"44,860",ÀÌÈ²
87,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-015528,2012-04-23,16:40,2012-04-23,19:46,A (+),"44,860",ÀÌÈ²
88,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-014591,2012-04-23,14:30,2012-04-23,16:55,A (+),"44,860",ÀÌÈ²
89,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-013304,2012-04-23,15:10,2012-04-23,19:46,A (+),"44,860",ÀÌÈ²
90,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-013321,2012-04-23,17:05,2012-04-23,19:46,A (+),"44,860",ÀÌÈ²
91,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-013992,2012-05-08,10:42,2012-05-08,15:51,O (+),"44,860",ÀÌÈ²
92,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-018457,2012-05-08,13:00,2012-05-08,15:51,O (+),"44,860",ÀÌÈ²
93,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-040032,2012-05-08,11:15,2012-05-08,15:51,O (+),"44,860",ÀÌÈ²
94,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-004773,2012-05-09,16:45,2012-05-09,19:56,O (+),"44,860",ÀÌÈ²
95,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-038337,2012-05-09,16:36,2012-05-09,19:56,O (+),"44,860",ÀÌÈ²
96,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-040992,2012-05-09,16:53,2012-05-09,19:56,O (+),"44,860",ÀÌÈ²
97,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-040950,2012-05-08,13:20,2012-05-08,16:53,O (+),"44,860",ÀÌÈ²
98,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-017663,2012-05-18,11:36,2012-05-18,16:38,O (+),"44,860",ÀÌÈ²
99,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-020430,2012-05-19,09:31,2012-05-19,15:01,O (+),"44,860",ÀÌÈ²
100,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-020462,2012-05-19,11:40,2012-05-19,15:01,O (+),"44,860",ÀÌÈ²
101,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-019574,2012-05-18,16:10,2012-05-18,19:40,O (+),"44,860",ÀÌÈ²
102,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-019553,2012-05-18,14:15,2012-05-18,19:40,O (+),"44,860",ÀÌÈ²
103,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-059396,2012-05-17,16:23,2012-05-17,19:20,O (+),"44,860",ÀÌÈ²
104,2012-05-29,09:27,½Å¼±µ¿°áÇ÷Àå,18204,400,10-12-016702,2012-04-23,11:00,2012-04-23,15:20,A (+),"44,860",ÀÌÈ²
