,Cycle,A1,A2,A3,B1,B2,B3,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2
,11,-10.5064227842231,-6.26981701857858,-8.07693394814487,-4.42229546229646,-8.96480821008299,-3.3512311085924,-6.31934807535163,-6.45768713628786,-11.9336370184965,4.49882587631873,-7.44516635488981,-7.74244583518612,-5.20323842801918,-4.35069500340614,-8.09795231878616,-6.6427266806304,-1.98627506025878,-6.0710951687588
,12,-9.05315090082695,-3.16268613514058,-7.1851836443202,-6.11228294433931,-10.3883160806381,-3.67381318051321,-4.84516301360327,-5.34791636510272,-5.5992091057924,-0.533782788875214,-5.79374628780351,-5.92352728488095,-1.63663421926594,-5.0018396028745,-13.1566832048084,-5.97468877929987,-6.29902702777144,-1.87701505867972
,13,-7.89547215773837,-8.75076860095305,-8.00957152080355,-8.35049458854883,-7.39174754785745,-2.81243337035085,-5.43770762042368,-9.22766491279526,-6.89156874578384,-5.55065690279389,-9.22044628852018,-6.75530260749292,-1.85014401615535,-4.86061080277432,-3.13163444240035,-2.2706731835242,-7.5236625189691,-5.20513820616361
,14,-6.37256577765129,-2.76328261686194,-7.41956738182944,-8.94383407319492,-10.5425067956776,-5.18470603338119,-3.96791919487805,-5.10608403022616,-12.0941393399253,-3.24039884074409,-3.62690113470217,-2.1398602037325,-5.37721301622241,-5.00623116224779,-7.76477094655911,0.342549012054405,-6.6176687600564,-7.43694312092157
,15,-2.39221690367413,-7.8481691097868,-9.26336341659135,-10.1008737149605,-10.3978600071814,-5.03549577367085,-4.92369938348565,-5.09021874312293,-9.47978995053745,3.38975163254236,-7.39143342171155,-1.86084387705614,-3.51154917222721,-8.55025795286292,-4.0867427052217,1.47089647640405,-6.91946912831463,-0.0668603732838164
,16,-11.0491267769394,-10.4734017213132,-9.91020728148851,-3.97949959340986,-7.48311778920925,-6.81156198291046,-5.00184188625008,0.840196851426299,-10.9818903625128,3.80346484006259,-9.57556559836212,-2.95505842920738,-9.72161699235676,-2.79844008967029,0.734168974757267,2.04703413883726,-5.50391340715578,-5.14866465946761
,17,-4.67022978317709,-2.89892347803743,-11.5719880599772,-7.14866404756049,-5.41378840721973,-7.22047664130696,-0.772752799142836,-5.96206079278181,-9.9832417233938,2.55253617751077,-8.19942506018742,3.14516356839704,-3.39987029852,3.17339828956301,-3.37226522562196,-0.642216711421497,-3.26988070094285,-3.67621187168697
,18,-3.70172179712881,-5.48012886187371,-7.57955090413361,-5.03963053489406,-6.56114922332199,-12.3585526600737,-0.963809079001294,-3.77064197822074,-8.97335524602295,-2.19202872598635,-6.19139918744622,-3.7614904440843,-3.40039195370355,2.44924416120284,1.57974006556924,8.3034355435293,-6.36693487752746,-3.55123772543266
,19,-6.40735749970736,-4.92672155529363,-5.67265957720429,-3.05919346847986,-4.66495723148728,-8.06752782420517,3.86468647013135,0.132297803979782,-5.8026021402784,-0.453270182220876,-12.1678241277377,-3.74177959340341,-5.25548699647607,0.0737852705406112,1.40597181161775,5.10185228088358,-3.7908301973539,-1.01167339196127
,20,-4.73729490946425,-2.22832394286797,-5.54491973110271,-5.72790748330408,-2.6660525040752,-9.04955366799095,-0.706917469087784,1.04458133271328,-4.71850765676118,-0.936430688239852,-2.43707634784005,-0.0223530810326338,-3.51417796255191,-0.558354169191261,4.54231424234149,12.9630764200974,-5.35734032056007,3.16631361015334
,21,-3.25941625636187,0.0481289633926281,-1.10407470096743,-0.611001228998248,-6.95246141966982,-8.22931667454577,-0.179247421303444,-5.03203733162354,-11.2423272694432,0.791001038284776,-5.92756834761258,-0.195803274878926,-5.00971148797998,1.53315471087353,4.85220407592078,9.15143217663535,-7.74550806494426,-4.76554441745884
,22,3.66645087049801,-2.11429287664578,8.36880889982876,2.01937287783494,1.20080359514759,1.44363407797391,1.67482785608809,-1.66094658306974,-6.31940341585869,3.62948130431323,0.808340888072053,-2.84233581534136,0.745669079736217,7.57721028733704,5.3380403728379,4.08851608886562,1.58938107800896,3.11208346130024
,23,4.10366493897891,-0.687686101685358,34.2368446853125,6.59946253926319,-3.13066867120597,-4.51125281058739,9.43902578753841,-4.02749502118422,-4.19747000281859,2.77327400805916,-4.4496240154449,1.10089352300838,-2.12015749483908,-1.69741300400892,3.01964940118341,5.84307531758259,0.879775057791448,-1.05063021754995
,24,1.86994564326687,1.79906120534542,72.0004388029884,-1.94511135295397,4.44024939941391,-10.4835789665331,3.30299908891539,-6.33795457532233,-2.95841938702597,2.87945407355437,-4.72332461742917,-4.81406008114209,6.20727310247366,-1.60508978911002,7.97025261847648,4.70817772453756,3.47278794987778,2.34763647072396
,25,-0.877036939140453,-2.23451765131813,165.774853686393,-0.951417961564403,-3.43515538900647,-8.63927514472198,2.65411052558011,-5.0730037496578,-1.89844014345545,5.07372788480825,-0.958801092390786,1.14731928787296,-1.59191959950294,1.06028706897177,3.90650626873321,5.69688676476471,-3.13589757173213,-0.0317920037959993
,26,0.284700081699157,-4.76511051103171,316.94821459554,7.44965220778431,-5.60245902604402,-5.24032569463725,8.2218813591744,-7.4130686777853,-0.946804262525802,-4.09577933624405,-0.133791109744379,-2.36901937619677,-0.911446623252232,-4.70108314700428,8.4117026880549,2.91917670915063,5.10371837886942,-1.73343683899839
,27,6.37215686193031,0.0901851776279727,581.835261622881,-0.709501346289471,-7.5490782693023,-4.37270030421223,-1.53334277544946,-8.02803799746835,1.08797046227119,-6.26634878743243,0.826341793596839,-6.36267244960254,-2.46459009354567,-11.1744765885596,3.81894503070453,-1.68367076837058,-3.15160935816857,-9.04139352396396
,28,2.006916256566,-8.00747393517122,969.406881628983,3.92742992620242,-7.90314847415357,-4.45771032215998,-4.9491767816653,-12.6214435566599,-5.52412283166086,-3.51257198770509,-0.113872411479861,-6.11427557735806,-4.60156807809381,-8.22199427578289,-0.471837826769843,-1.86917559767244,-5.77585560955595,-6.46225941478679
,29,0.992614023552051,-7.01439837579892,1437.99427808786,0.139731429153471,-5.52119835975736,1.03183276135223,-1.01927462776985,-10.2738138511058,-4.57521191011801,-8.33567085617324,2.6072729182215,-6.67785460397135,-3.79154899068908,-8.98212147887716,-0.896279483276885,-6.78512674563353,-7.14379963141255,-5.56165112156305
,30,-0.803137754213822,-5.37597338689193,1854.9405967089,-0.853210750618018,-8.7107528605884,2.16611234902939,-5.07149408429905,-7.6210041500799,-6.1398903365025,0.550875409002401,0.985795542820597,-5.18068165556087,-2.45635737724024,-8.82244120373343,-4.79958347833144,-2.28239487616884,-1.26823453103952,-0.33762105202004
,31,-7.80901245884797,-11.1000264236163,2186.26448526208,-0.301541046646889,-11.7681848412922,-1.66417484744488,-5.66867605605239,-5.42049813522681,-10.1910175940711,-14.8275560723869,-6.34250932123086,-11.4803441640815,-6.32826578482764,-7.52260336774907,-6.67882868936886,-4.57534865909747,-7.08158499652836,-13.5055080126913
,32,-4.49023643883902,-7.11404117157781,2412.43638079029,-4.8831443085428,-9.61602116505219,-0.709266429200397,-9.10602757080505,-6.44663980322002,-8.10825802855288,-6.07927182759613,-6.50309053973979,-8.47724521297368,-6.90917114329022,-10.4894626933774,-10.0141731153853,-8.10186225516736,-8.50966435984265,-9.94110801679381
,33,-10.0711916271148,-2.69242210171706,2558.9389176189,-6.23275849486072,-2.31234862534257,-1.55099917556709,-7.61560844765336,-5.02634553877215,-6.13481286973183,-7.11911923737989,-9.09054747771097,-7.76275812838958,-4.3146904484729,-5.0071014073992,-10.7081299456158,-9.890404100056,-9.92529401870706,-0.363098308433109
,34,-8.65298148394322,0.0462009053326256,2650.0740768443,-4.19115483699898,-5.14538238555269,1.15506695349723,-8.24503787172944,-1.06495302384974,-3.54858244203388,-4.3299065558158,-5.6262254225685,-4.14054709176435,-5.50369181852511,-3.71070086797135,-6.96134157828419,-9.72357798391749,-6.07530156215944,-6.50129693207873
,35,-3.4753674277008,-2.04694622875923,2708.96850007159,-4.39852493948092,0.0827481882552092,-0.587784205100434,-9.81734278179738,-1.76557620432595,-3.90510598881428,-4.66451759490428,-5.49554886939859,-2.55208641919671,-2.52436800062969,1.7837985381675,-4.05957478768869,-3.902081644188,-1.0320009981333,-0.819071051013452
,36,-3.37816039164136,4.75927401426543,2748.29052994658,-5.09301399616834,4.56821427863088,0.744389080699875,-4.34536157614548,-0.798853498649805,-3.83509564479846,-0.734957487044994,-3.79734977544103,-0.29550348259454,-3.84762329250589,7.13692603655181,-8.88254340277308,-8.65250651342103,-1.01345309498811,2.79614391031737
,37,-3.57929452627013,-2.6280167103987,2774.35517443242,-6.20320279784755,-0.814246117734911,3.57401936247152,-2.31951226184901,4.11994240030072,3.0506505422909,0.196940460330552,1.15160525013107,0.488937806850117,4.34746007122158,1.78437791426313,-8.86874501633429,0.659479731717511,-1.26936850014681,0.696176436325004
,38,-0.507637587263162,9.81476441592713,2795.61369173303,0.596892867642964,4.76462063397958,5.96656846053702,-1.44116050575576,7.51719828618116,1.22795766689251,-1.83570180229071,-0.47694094727558,6.64465293198828,4.93569468262285,6.72607003674966,0.174419758179283,5.15273909132247,2.42854878019898,3.03508967495418
,39,-4.34472183819889,6.0370980571106,2811.5727656015,0.361273945121866,10.8273708454499,10.3346198786676,0.7315267549493,8.42092824126848,3.61539225110755,1.89445855517806,5.99212043096486,6.24154584559165,2.29469119778878,5.31591794977521,1.11852476556214,-1.16797054205472,10.6657610191241,5.42568537792886
,40,3.78727173034713,9.84566247004022,2825.59675920829,2.98636356438783,9.77120907442531,11.2960561339687,-0.939707699648352,9.02112178916832,6.74895116720199,1.548010849805,6.15446206533215,7.27342222553671,6.34260970538071,3.96805227950972,3.83267877793423,1.26240198877713,6.18132992091432,5.97061908644264
