20100115073623S:A1500,0015,  00001271,1, 0,00
20100115074237S:A1500,0015,  00001224,1, 0,00
20100115074238R:A1501,0 15,  00001016,0, 0
20100115074238R:A1510,0 15,  00001016, 1, 0, 1, 0
20100115074247R:A1510,0 15,  00001016, 9, 0, 1, 0
20100115074249R:U1500,0 15,  00001266, 0
20100115074249S:U1500,0 15,  00001266,00
20100115074258R:A1504,0 15,  00001266, 0, 0
20100115074258R:A1503,0 15,  00001016, 0, 0
20100115074259S:A1500,0015,  00001220,1, 0,00
20100115074259S:A1503,0015,  00001016,01,00
20100115074310R:A1501,0 15,  00001042,0, 0
20100115074311R:A1510,0 15,  00001042, 1, 0, 1, 0
20100115074316R:U1500,0 15,  00001016, 0
20100115074316S:U1500,0 15,  00001016,00
20100115074319R:A1510,0 15,  00001042, 9, 0, 0, 0
20100115074332S:A1500,0015,  00000132,1, 0,00
20100115074338R:A1504,0 15,  00001016, 0, 0
20100115074338R:A1503,0 15,  00001042, 0, 0
20100115074339S:A1503,0015,  00001042,01,00
20100115074344R:U1500,0 15,  00001042, 0
20100115074344S:U1500,0 15,  00001042,00
20100115074418R:A1504,0 15,  00001042, 0, 0
20100115074430R:A1501,0 15,  00001224,0, 0
20100115074430R:A1510,0 15,  00001224, 1, 0, 0, 0
20100115074439R:A1510,0 15,  00001224, 9, 0, 0, 0
20100115074444R:A1503,0 15,  00001224, 0, 0
20100115074444S:A1503,0015,  00001224,01,00
20100115074451S:A1500,0015,  00001260,1, 0,00
20100115074453R:A1501,0 15,  00001220,0, 0
20100115074453R:A1510,0 15,  00001220, 1, 0, 1, 0
20100115074502R:A1510,0 15,  00001220, 9, 0, 1, 0
20100115074504R:U1500,0 15,  00001224, 0
20100115074504S:U1500,0 15,  00001224,00
20100115074513R:A1504,0 15,  00001224, 0, 0
20100115074513R:A1503,0 15,  00001220, 0, 0
20100115074520S:A1503,0015,  00001220,01,00
20100115074523S:A1500,0015,  00001171,1, 0,00
20100115074525R:A1501,0 15,  00000132,0, 0
20100115074525R:A1510,0 15,  00000132, 1, 0, 1, 0
20100115074534R:A1510,0 15,  00000132, 9, 0, 1, 0
20100115074536R:U1500,0 15,  00001220, 0
20100115074536S:U1500,0 15,  00001220,00
20100115074546S:A1500,0015,  00000136,1, 0,00
20100115074553R:A1504,0 15,  00001220, 0, 0
20100115074553R:A1503,0 15,  00000132, 0, 0
20100115074605R:A1501,0 15,  00001260,0, 0
20100115074605R:A1510,0 15,  00001260, 1, 0, 1, 0
20100115074608S:A1503,0015,  00000132,01,00
20100115074614R:A1510,0 15,  00001260, 9, 0, 1, 0
20100115074616R:U1500,0 15,  00000132, 0
20100115074616S:U1500,0 15,  00000132,00
20100115074628S:A1500,0015,  00001045,1, 0,00
20100115074632R:A1504,0 15,  00000132, 0, 0
20100115074632R:A1503,0 15,  00001260, 0, 0
20100115074644R:A1501,0 15,  00001171,0, 0
20100115074644R:A1510,0 15,  00001171, 1, 0, 1, 0
20100115074653R:A1510,0 15,  00001171, 9, 0, 1, 0
20100115074654S:A1503,0015,  00001260,01,00
20100115074700R:U1500,0 15,  00001260, 0
20100115074700S:U1500,0 15,  00001260,00
20100115074712R:A1504,0 15,  00001260, 0, 0
20100115074713R:A1503,0 15,  00001171, 0, 0
20100115074725R:A1501,0 15,  00000136,0, 0
20100115074725R:A1510,0 15,  00000136, 1, 0, 1, 0
20100115074734R:A1510,0 15,  00000136, 9, 0, 1, 0
20100115074741S:A1503,0015,  00001171,01,00
20100115074747R:A1501,0 15,  00001045,0, 0
20100115074747R:A1510,0 15,  00001045, 1, 0, 2, 0
20100115074756R:A1510,0 15,  00001045, 9, 0, 2, 0
20100115074758R:U1500,0 15,  00001171, 0
20100115074758S:U1500,0 15,  00001171,00
20100115074807R:A1504,0 15,  00001171, 0, 0
20100115074807R:A1503,0 15,  00000136, 0, 0
20100115074821S:A1500,0015,  00000129,1, 0,00
20100115074834S:A1500,0015,  00001285,1, 0,00
20100115074837S:A1503,0015,  00000136,01,00
20100115074843R:U1500,0 15,  00000136, 0
20100115074843S:U1500,0 15,  00000136,00
20100115074846R:A1504,0 15,  00000136, 0, 0
20100115074847R:A1503,0 15,  00001045, 0, 0
20100115074937S:A1503,0015,  00001045,01,00
20100115074943R:U1500,0 15,  00001045, 0
20100115074943S:U1500,0 15,  00001045,00
20100115074945R:A1504,0 15,  00001045, 0, 0
20100115075247S:A1500,0015,  00001022,1, 0,00
20100115075357S:A1500,0015,  00000100,1, 0,00
20100115075512S:A1500,0015,  00001295,1, 0,00
20100115075553S:A1500,0015,  00000169,1, 0,00
20100115075605S:A1500,0015,  00000052,1, 0,00
20100115075620S:A1500,0015,  00000011,1, 0,00
20100115075636S:A1500,0015,  00000094,1, 0,00
20100115075651S:A1500,0015,  00001041,1, 0,00
20100115075757S:A1500,0015,  00000066,1, 0,00
20100115075809S:A1500,0015,  00001269,1, 0,00
20100115075826S:A1500,0015,  00001288,1, 0,00
20100115075851S:A1500,0015,  00000040,1, 0,00
20100115075934R:A1501,0 15,  00000129,0, 0
20100115075934R:A1510,0 15,  00000129, 1, 0, 0, 0
20100115075943R:A1510,0 15,  00000129, 9, 0, 0, 0
20100115075948R:A1503,0 15,  00000129, 0, 0
20100115075948S:A1503,0015,  00000129,01,00
20100115075954R:U1500,0 15,  00000129, 0
20100115075954S:U1500,0 15,  00000129,00
20100115075956R:A1504,0 15,  00000129, 0, 0
20100115080118R:A1501,0 15,  00001285,0, 0
20100115080118R:A1510,0 15,  00001285, 1, 0, 0, 0
20100115080127R:A1510,0 15,  00001285, 9, 0, 0, 0
20100115080132R:A1503,0 15,  00001285, 0, 0
20100115080132S:A1503,0015,  00001285,01,00
20100115080137S:A1500,0015,  00000141,1, 0,00
20100115080138R:U1500,0 15,  00001285, 0
20100115080138S:U1500,0 15,  00001285,00
20100115080141R:A1504,0 15,  00001285, 0, 0
20100115080204S:A1500,0015,  00000014,1, 0,00
20100115080303S:A1500,0015,  00000154,1, 0,00
20100115080315S:A1500,0015,  00001113,1, 0,00
20100115080327S:A1500,0015,  00001297,1, 0,00
20100115080339S:A1500,0015,  00000036,1, 0,00
20100115080350S:A1500,0015,  00001253,1, 0,00
20100115080410S:A1500,0015,  00001223,1, 0,00
20100115080605R:A1501,0 15,  00001022,0, 0
20100115080606R:A1510,0 15,  00001022, 1, 0, 0, 0
20100115080615R:A1510,0 15,  00001022, 9, 0, 0, 0
20100115080619R:A1503,0 15,  00001022, 0, 0
20100115080619S:A1503,0015,  00001022,01,00
20100115080622R:A1501,0 15,  00000100,0, 0
20100115080622R:A1510,0 15,  00000100, 1, 0, 1, 0
20100115080631R:A1510,0 15,  00000100, 9, 0, 1, 0
20100115080633R:U1500,0 15,  00001022, 0
20100115080633S:U1500,0 15,  00001022,00
20100115080643R:A1504,0 15,  00001022, 0, 0
20100115080643R:A1503,0 15,  00000100, 0, 0
20100115080643S:A1503,0015,  00000100,01,00
20100115080649R:U1500,0 15,  00000100, 0
20100115080649S:U1500,0 15,  00000100,00
20100115080704R:A1504,0 15,  00000100, 0, 0
20100115080713S:A1500,0015,  00001042,1, 0,00
20100115080725S:A1500,0015,  00001224,1, 0,00
20100115080912R:A1501,0 15,  00001295,0, 0
20100115080912R:A1510,0 15,  00001295, 1, 0, 0, 0
20100115080921R:A1510,0 15,  00001295, 9, 0, 0, 0
20100115080925R:A1503,0 15,  00001295, 0, 0
20100115080926S:A1503,0015,  00001295,01,00
20100115080933R:A1501,0 15,  00000169,0, 0
20100115080933R:A1510,0 15,  00000169, 1, 0, 1, 0
20100115080942R:A1510,0 15,  00000169, 9, 0, 1, 0
20100115080944R:U1500,0 15,  00001295, 0
20100115080944S:U1500,0 15,  00001295,00
20100115080953R:A1504,0 15,  00001295, 0, 0
20100115080953R:A1503,0 15,  00000169, 0, 0
20100115080955S:A1503,0015,  00000169,01,00
20100115081005R:A1501,0 15,  00000052,0, 0
20100115081005R:A1510,0 15,  00000052, 1, 0, 1, 0
20100115081011R:U1500,0 15,  00000169, 0
20100115081011S:U1500,0 15,  00000169,00
20100115081014R:A1510,0 15,  00000052, 9, 0, 0, 0
20100115081020R:A1504,0 15,  00000169, 0, 0
20100115081021R:A1503,0 15,  00000052, 0, 0
20100115081022S:A1503,0015,  00000052,01,00
20100115081027R:U1500,0 15,  00000052, 0
20100115081027S:U1500,0 15,  00000052,00
20100115081100R:A1504,0 15,  00000052, 0, 0
20100115081109S:A1500,0015,  00001258,1, 0,00
20100115081120S:A1500,0015,  00001220,1, 0,00
20100115081136S:A1500,0015,  00000132,1, 0,00
20100115081234R:A1501,0 15,  00000011,0, 0
20100115081234R:A1510,0 15,  00000011, 1, 0, 0, 0
20100115081243R:A1510,0 15,  00000011, 9, 0, 0, 0
20100115081247R:A1503,0 15,  00000011, 0, 0
20100115081248S:A1503,0015,  00000011,01,00
20100115081254R:A1501,0 15,  00000094,0, 0
20100115081255R:A1510,0 15,  00000094, 1, 0, 1, 0
20100115081304R:A1510,0 15,  00000094, 9, 0, 1, 0
20100115081306R:U1500,0 15,  00000011, 0
20100115081306S:U1500,0 15,  00000011,00
20100115081315R:A1504,0 15,  00000011, 0, 0
20100115081315R:A1503,0 15,  00000094, 0, 0
20100115081316S:A1503,0015,  00000094,01,00
20100115081327R:A1501,0 15,  00001041,0, 0
20100115081327R:A1510,0 15,  00001041, 1, 0, 1, 0
20100115081333R:U1500,0 15,  00000094, 0
20100115081333S:U1500,0 15,  00000094,00
20100115081336R:A1510,0 15,  00001041, 9, 0, 0, 0
20100115081355R:A1504,0 15,  00000094, 0, 0
20100115081355R:A1503,0 15,  00001041, 0, 0
20100115081356S:A1503,0015,  00001041,01,00
20100115081401R:U1500,0 15,  00001041, 0
20100115081401S:U1500,0 15,  00001041,00
20100115081435R:A1504,0 15,  00001041, 0, 0
20100115081444S:A1500,0015,  00001034,1, 0,00
20100115081455S:A1500,0015,  00001260,1, 0,00
20100115081507S:A1500,0015,  00001171,1, 0,00
20100115081647R:A1501,0 15,  00000066,0, 0
20100115081647R:A1510,0 15,  00000066, 1, 0, 0, 0
20100115081656R:A1510,0 15,  00000066, 9, 0, 0, 0
20100115081700R:A1503,0 15,  00000066, 0, 0
20100115081701S:A1503,0015,  00000066,01,00
20100115081703R:A1501,0 15,  00001269,0, 0
20100115081703R:A1510,0 15,  00001269, 1, 0, 1, 0
20100115081712R:A1510,0 15,  00001269, 9, 0, 1, 0
20100115081714R:U1500,0 15,  00000066, 0
20100115081714S:U1500,0 15,  00000066,00
20100115081723R:A1504,0 15,  00000066, 0, 0
20100115081724R:A1503,0 15,  00001269, 0, 0
20100115081724S:A1503,0015,  00001269,01,00
20100115081735R:A1501,0 15,  00001288,0, 0
20100115081735R:A1510,0 15,  00001288, 1, 0, 1, 0
20100115081740R:U1500,0 15,  00001269, 0
20100115081740S:U1500,0 15,  00001269,00
20100115081744R:A1510,0 15,  00001288, 9, 0, 0, 0
20100115081803R:A1504,0 15,  00001269, 0, 0
20100115081803R:A1503,0 15,  00001288, 0, 0
20100115081804S:A1503,0015,  00001288,01,00
20100115081809R:U1500,0 15,  00001288, 0
20100115081809S:U1500,0 15,  00001288,00
20100115081843R:A1504,0 15,  00001288, 0, 0
20100115081851S:A1500,0015,  00000177,1, 0,00
20100115081853R:A1501,0 15,  00000036,0, 0
20100115081853R:A1510,0 15,  00000036, 1, 0, 0, 0
20100115081902R:A1510,0 15,  00000036, 9, 0, 0, 0
20100115081906R:A1503,0 15,  00000036, 0, 0
20100115081907S:A1503,0015,  00000036,01,00
20100115081913R:U1500,0 15,  00000036, 0
20100115081913S:U1500,0 15,  00000036,00
20100115081923R:A1504,0 15,  00000036, 0, 0
20100115081934R:A1501,0 15,  00001253,0, 0
20100115081934R:A1510,0 15,  00001253, 1, 0, 0, 0
20100115081943R:A1510,0 15,  00001253, 9, 0, 0, 0
20100115081948R:A1503,0 15,  00001253, 0, 0
20100115081948S:A1503,0015,  00001253,01,00
20100115081951R:A1501,0 15,  00001223,0, 0
20100115081952R:A1510,0 15,  00001223, 1, 0, 1, 0
20100115082001R:A1510,0 15,  00001223, 9, 0, 1, 0
20100115082003R:U1500,0 15,  00001253, 0
20100115082003S:U1500,0 15,  00001253,00
20100115082012R:A1504,0 15,  00001253, 0, 0
20100115082012R:A1503,0 15,  00001223, 0, 0
20100115082013S:A1503,0015,  00001223,01,00
20100115082018R:U1500,0 15,  00001223, 0
20100115082018S:U1500,0 15,  00001223,00
20100115082021S:A1500,0015,  00000180,1, 0,00
20100115082032S:A1500,0015,  00001119,1, 0,00
20100115082051R:A1504,0 15,  00001223, 0, 0
20100115082103R:A1501,0 15,  00000040,0, 0
20100115082104R:A1510,0 15,  00000040, 1, 0, 0, 0
20100115082113R:A1510,0 15,  00000040, 9, 0, 0, 0
20100115082117R:A1503,0 15,  00000040, 0, 0
20100115082117S:A1503,0015,  00000040,01,00
20100115082124R:A1501,0 15,  00000141,0, 0
20100115082124R:A1510,0 15,  00000141, 1, 0, 1, 0
20100115082133R:A1510,0 15,  00000141, 9, 0, 1, 0
20100115082135R:U1500,0 15,  00000040, 0
20100115082135S:U1500,0 15,  00000040,00
20100115082145R:A1504,0 15,  00000040, 0, 0
20100115082145R:A1503,0 15,  00000141, 0, 0
20100115082146S:A1503,0015,  00000141,01,00
20100115082151R:U1500,0 15,  00000141, 0
20100115082151S:U1500,0 15,  00000141,00
20100115082224R:A1504,0 15,  00000141, 0, 0
20100115082237R:A1501,0 15,  00000014,0, 0
20100115082237R:A1510,0 15,  00000014, 1, 0, 0, 0
20100115082246R:A1510,0 15,  00000014, 9, 0, 0, 0
20100115082250R:A1503,0 15,  00000014, 0, 0
20100115082251S:A1503,0015,  00000014,01,00
20100115082253S:A1500,0015,  00001262,1, 0,00
20100115082256R:U1500,0 15,  00000014, 0
20100115082256S:U1500,0 15,  00000014,00
20100115082304R:A1504,0 15,  00000014, 0, 0
20100115082309S:A1500,0015,  00000159,1, 0,00
20100115082404R:A1501,0 15,  00000154,0, 0
20100115082404R:A1510,0 15,  00000154, 1, 0, 0, 0
20100115082413R:A1510,0 15,  00000154, 9, 0, 0, 0
20100115082418R:A1503,0 15,  00000154, 0, 0
20100115082418S:A1503,0015,  00000154,01,00
20100115082425R:A1501,0 15,  00001113,0, 0
20100115082425R:A1510,0 15,  00001113, 1, 0, 1, 0
20100115082434R:A1510,0 15,  00001113, 9, 0, 1, 0
20100115082436R:U1500,0 15,  00000154, 0
20100115082436S:U1500,0 15,  00000154,00
20100115082445R:A1504,0 15,  00000154, 0, 0
20100115082445R:A1503,0 15,  00001113, 0, 0
20100115082446S:A1503,0015,  00001113,01,00
20100115082452R:U1500,0 15,  00001113, 0
20100115082452S:U1500,0 15,  00001113,00
20100115082525R:A1504,0 15,  00001113, 0, 0
20100115082537R:A1501,0 15,  00001297,0, 0
20100115082537R:A1510,0 15,  00001297, 1, 0, 0, 0
20100115082546R:A1510,0 15,  00001297, 9, 0, 0, 0
20100115082551R:A1503,0 15,  00001297, 0, 0
20100115082551S:A1503,0015,  00001297,01,00
20100115082557R:U1500,0 15,  00001297, 0
20100115082557S:U1500,0 15,  00001297,00
20100115082605R:A1504,0 15,  00001297, 0, 0
20100115082727R:A1501,0 15,  00001042,0, 0
20100115082728R:A1510,0 15,  00001042, 1, 0, 0, 0
20100115082737R:A1510,0 15,  00001042, 9, 0, 0, 0
20100115082741R:A1503,0 15,  00001042, 0, 0
20100115082741S:A1503,0015,  00001042,01,00
20100115082744R:A1501,0 15,  00001224,0, 0
20100115082744R:A1510,0 15,  00001224, 1, 0, 1, 0
20100115082753R:A1510,0 15,  00001224, 9, 0, 1, 0
20100115082755R:U1500,0 15,  00001042, 0
20100115082755S:U1500,0 15,  00001042,00
20100115082805R:A1504,0 15,  00001042, 0, 0
20100115082805R:A1503,0 15,  00001224, 0, 0
20100115082805S:A1503,0015,  00001224,01,00
20100115082811R:U1500,0 15,  00001224, 0
20100115082811S:U1500,0 15,  00001224,00
20100115082844R:A1504,0 15,  00001224, 0, 0
20100115082938S:A1500,0015,  00000140,1, 0,00
20100115083041R:A1501,0 15,  00001258,0, 0
20100115083041R:A1510,0 15,  00001258, 1, 0, 0, 0
20100115083050R:A1510,0 15,  00001258, 9, 0, 0, 0
20100115083054R:A1503,0 15,  00001258, 0, 0
20100115083054S:A1503,0015,  00001258,01,00
20100115083101R:A1501,0 15,  00001220,0, 0
20100115083101R:A1510,0 15,  00001220, 1, 0, 1, 0
20100115083110R:A1510,0 15,  00001220, 9, 0, 1, 0
20100115083112R:U1500,0 15,  00001258, 0
20100115083112S:U1500,0 15,  00001258,00
20100115083122R:A1504,0 15,  00001258, 0, 0
20100115083122R:A1503,0 15,  00001220, 0, 0
20100115083122S:A1503,0015,  00001220,01,00
20100115083128R:U1500,0 15,  00001220, 0
20100115083128S:U1500,0 15,  00001220,00
20100115083201R:A1504,0 15,  00001220, 0, 0
20100115083214R:A1501,0 15,  00000132,0, 0
20100115083214R:A1510,0 15,  00000132, 1, 0, 0, 0
20100115083223R:A1510,0 15,  00000132, 9, 0, 0, 0
20100115083227R:A1503,0 15,  00000132, 0, 0
20100115083227S:A1503,0015,  00000132,01,00
20100115083233R:U1500,0 15,  00000132, 0
20100115083233S:U1500,0 15,  00000132,00
20100115083241R:A1504,0 15,  00000132, 0, 0
20100115083337R:A1501,0 15,  00001034,0, 0
20100115083337R:A1510,0 15,  00001034, 1, 0, 0, 0
20100115083346R:A1510,0 15,  00001034, 9, 0, 0, 0
20100115083351R:A1503,0 15,  00001034, 0, 0
20100115083351S:A1503,0015,  00001034,01,00
20100115083358R:A1501,0 15,  00001260,0, 0
20100115083358R:A1510,0 15,  00001260, 1, 0, 1, 0
20100115083407R:A1510,0 15,  00001260, 9, 0, 1, 0
20100115083409R:U1500,0 15,  00001034, 0
20100115083409S:U1500,0 15,  00001034,00
20100115083419R:A1504,0 15,  00001034, 0, 0
20100115083419R:A1503,0 15,  00001260, 0, 0
20100115083419S:A1503,0015,  00001260,01,00
20100115083425R:U1500,0 15,  00001260, 0
20100115083425S:U1500,0 15,  00001260,00
20100115083458R:A1504,0 15,  00001260, 0, 0
20100115083505S:A1500,0015,  00001132,1, 0,00
20100115083510R:A1501,0 15,  00001171,0, 0
20100115083510R:A1510,0 15,  00001171, 1, 0, 0, 0
20100115083519R:A1510,0 15,  00001171, 9, 0, 0, 0
20100115083524R:A1503,0 15,  00001171, 0, 0
20100115083524S:A1503,0015,  00001171,01,00
20100115083530R:U1500,0 15,  00001171, 0
20100115083530S:U1500,0 15,  00001171,00
20100115083538R:A1504,0 15,  00001171, 0, 0
20100115083749R:A1501,0 15,  00000177,0, 0
20100115083749R:A1510,0 15,  00000177, 1, 0, 0, 0
20100115083758R:A1510,0 15,  00000177, 9, 0, 0, 0
20100115083803R:A1503,0 15,  00000177, 0, 0
20100115083803S:A1503,0015,  00000177,01,00
20100115083805R:A1501,0 15,  00001119,0, 0
20100115083805R:A1510,0 15,  00001119, 1, 0, 1, 0
20100115083814R:A1510,0 15,  00001119, 9, 0, 1, 0
20100115083816R:U1500,0 15,  00000177, 0
20100115083816S:U1500,0 15,  00000177,00
20100115083826R:A1504,0 15,  00000177, 0, 0
20100115083826R:A1503,0 15,  00001119, 0, 0
20100115083827S:A1503,0015,  00001119,01,00
20100115083837R:A1501,0 15,  00000159,0, 0
20100115083837R:A1510,0 15,  00000159, 1, 0, 1, 0
20100115083843R:U1500,0 15,  00001119, 0
20100115083843S:U1500,0 15,  00001119,00
20100115083846R:A1510,0 15,  00000159, 9, 0, 0, 0
20100115083905R:A1504,0 15,  00001119, 0, 0
20100115083905R:A1503,0 15,  00000159, 0, 0
20100115083906S:A1503,0015,  00000159,01,00
20100115083912R:U1500,0 15,  00000159, 0
20100115083912S:U1500,0 15,  00000159,00
20100115083945R:A1504,0 15,  00000159, 0, 0
20100115084008R:A1501,0 15,  00000180,0, 0
20100115084008R:A1510,0 15,  00000180, 1, 0, 0, 0
20100115084017R:A1510,0 15,  00000180, 9, 0, 0, 0
20100115084021R:A1503,0 15,  00000180, 0, 0
20100115084022S:A1503,0015,  00000180,01,00
20100115084029R:A1501,0 15,  00001262,0, 0
20100115084030R:A1510,0 15,  00001262, 1, 0, 1, 0
20100115084039R:A1510,0 15,  00001262, 9, 0, 1, 0
20100115084041R:U1500,0 15,  00000180, 0
20100115084041S:U1500,0 15,  00000180,00
20100115084050R:A1504,0 15,  00000180, 0, 0
20100115084050R:A1503,0 15,  00001262, 0, 0
20100115084051S:A1503,0015,  00001262,01,00
20100115084051S:A1500,0015,  00001223,1, 0,00
20100115084056R:U1500,0 15,  00001262, 0
20100115084056S:U1500,0 15,  00001262,00
20100115084109S:A1500,0015,  00001159,1, 0,00
20100115084130R:A1504,0 15,  00001262, 0, 0
20100115084132S:A1500,0015,  00000040,1, 0,00
20100115084732R:A1501,0 15,  00000140,0, 0
20100115084732R:A1510,0 15,  00000140, 1, 0, 0, 0
20100115084741R:A1510,0 15,  00000140, 9, 0, 0, 0
20100115084746R:A1503,0 15,  00000140, 0, 0
20100115084746S:A1503,0015,  00000140,01,00
20100115084752R:U1500,0 15,  00000140, 0
20100115084752S:U1500,0 15,  00000140,00
20100115084755R:A1504,0 15,  00000140, 0, 0
20100115084914R:A1501,0 15,  00001132,0, 0
20100115084914R:A1510,0 15,  00001132, 1, 0, 0, 0
20100115084923R:A1510,0 15,  00001132, 9, 0, 0, 0
20100115084928R:A1503,0 15,  00001132, 0, 0
20100115084928S:A1503,0015,  00001132,01,00
20100115084934R:U1500,0 15,  00001132, 0
20100115084934S:U1500,0 15,  00001132,00
20100115084936R:A1504,0 15,  00001132, 0, 0
20100115085540S:A1500,0015,  00000014,1, 0,00
20100115085558S:A1500,0015,  00001293,1, 0,00
20100115085642R:A1501,0 15,  00001223,0, 0
20100115085643R:A1510,0 15,  00001223, 1, 0, 0, 0
20100115085652R:A1510,0 15,  00001223, 9, 0, 0, 0
20100115085656R:A1503,0 15,  00001223, 0, 0
20100115085656S:A1503,0015,  00001223,01,00
20100115085659R:A1501,0 15,  00000040,0, 0
20100115085659R:A1510,0 15,  00000040, 1, 0, 1, 0
20100115085707S:A1500,0015,  00000141,1, 0,00
20100115085709R:A1510,0 15,  00000040, 9, 0, 1, 0
20100115085710R:U1500,0 15,  00001223, 0
20100115085710S:U1500,0 15,  00001223,00
20100115085720R:A1504,0 15,  00001223, 0, 0
20100115085720R:A1503,0 15,  00000040, 0, 0
20100115085721S:A1503,0015,  00000040,01,00
20100115085726R:U1500,0 15,  00000040, 0
20100115085726S:U1500,0 15,  00000040,00
20100115085759R:A1504,0 15,  00000040, 0, 0
20100115085823S:A1500,0015,  00001277,1, 0,00
20100115085856R:A1501,0 15,  00001159,0, 0
20100115085856R:A1510,0 15,  00001159, 1, 0, 0, 0
20100115085905R:A1510,0 15,  00001159, 9, 0, 0, 0
20100115085909R:A1503,0 15,  00001159, 0, 0
20100115085910S:A1503,0015,  00001159,01,00
20100115085915R:U1500,0 15,  00001159, 0
20100115085915S:U1500,0 15,  00001159,00
20100115085918R:A1504,0 15,  00001159, 0, 0
20100115090445S:A1500,0015,  00001001,1, 0,00
20100115090754R:A1501,0 15,  00000014,0, 0
20100115090755R:A1510,0 15,  00000014, 1, 0, 0, 0
20100115090804R:A1510,0 15,  00000014, 9, 0, 0, 0
20100115090808R:A1503,0 15,  00000014, 0, 0
20100115090808S:A1503,0015,  00000014,01,00
20100115090816R:A1501,0 15,  00001293,0, 0
20100115090816R:A1510,0 15,  00001293, 1, 0, 1, 0
20100115090825R:A1510,0 15,  00001293, 9, 0, 1, 0
20100115090827R:U1500,0 15,  00000014, 0
20100115090827S:U1500,0 15,  00000014,00
20100115090836R:A1504,0 15,  00000014, 0, 0
20100115090837R:A1503,0 15,  00001293, 0, 0
20100115090837S:A1503,0015,  00001293,01,00
20100115090843R:U1500,0 15,  00001293, 0
20100115090843S:U1500,0 15,  00001293,00
20100115090846S:A1500,0015,  00001007,1, 0,00
