D1    dce_setenv          | Debug level is <DEBUG:DEBUG>
D180  dce_table_destroy   | current time is <Mon Sep 07 15:29:16 2020>
D181  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W183  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D184  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D185  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D186  dce_push_long       | sending <dce_rpccount>=0
D187  dce_pop_long        | got <dce_rpccount>=190079
D188  dce_pop_int         | got <dce_svr_pid>=18487
D189  dce_submit_ext      | data transferred, Socket <968> closed
D190  dce_pop_long        | got <dce_result>=12
D191  dce_table_destroy   | about to clear <9967cb0>
D192  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D193  dce_findserver      | current time is <Mon Sep 07 15:29:17 2020>
D194  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D195  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D196  dce_submit_ext      | about to submit RPC to <OECbroker:>
D197  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D198  dce_push_long       | sending <dce_rpccount>=0
D199  dce_pop_long        | got <dce_rpccount>=55151491
D200  dce_pop_int         | got <dce_svr_pid>=25945
D201  dce_submit_ext      | data transferred, Socket <968> closed
D202  dce_table_destroy   | about to clear <9968300>
D203  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D204  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W206  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D207  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D208  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D209  dce_push_long       | sending <dce_rpccount>=0
D210  dce_pop_long        | got <dce_rpccount>=190080
D211  dce_pop_int         | got <dce_svr_pid>=18487
D212  dce_submit_ext      | data transferred, Socket <968> closed
D213  dce_pop_long        | got <dce_result>=12
D214  dce_table_destroy   | about to clear <99688b0>
D215  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D216  dce_findserver      | current time is <Mon Sep 07 15:29:17 2020>
D217  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D218  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D219  dce_submit_ext      | about to submit RPC to <OECbroker:>
D220  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D221  dce_push_long       | sending <dce_rpccount>=0
D222  dce_pop_long        | got <dce_rpccount>=55151492
D223  dce_pop_int         | got <dce_svr_pid>=25945
D224  dce_submit_ext      | data transferred, Socket <968> closed
D225  dce_table_destroy   | about to clear <99692b0>
D226  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D227  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W229  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D230  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D231  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D232  dce_push_long       | sending <dce_rpccount>=0
D233  dce_pop_long        | got <dce_rpccount>=190081
D234  dce_pop_int         | got <dce_svr_pid>=18487
D235  dce_submit_ext      | data transferred, Socket <968> closed
D236  dce_pop_long        | got <dce_result>=4
D237  dce_table_destroy   | about to clear <9969800>
D238  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D239  dce_findserver      | current time is <Mon Sep 07 15:29:17 2020>
D240  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D241  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D242  dce_submit_ext      | about to submit RPC to <OECbroker:>
D243  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D244  dce_push_long       | sending <dce_rpccount>=0
D245  dce_pop_long        | got <dce_rpccount>=55151493
D246  dce_pop_int         | got <dce_svr_pid>=25945
D247  dce_submit_ext      | data transferred, Socket <968> closed
D248  dce_table_destroy   | about to clear <99696b0>
D249  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D250  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W252  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D253  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D254  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D255  dce_push_long       | sending <dce_rpccount>=0
D256  dce_pop_long        | got <dce_rpccount>=190082
D257  dce_pop_int         | got <dce_svr_pid>=18487
D258  dce_submit_ext      | data transferred, Socket <968> closed
D259  dce_pop_long        | got <dce_result>=3
D260  dce_table_destroy   | about to clear <9969d30>
D261  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D262  dce_findserver      | current time is <Mon Sep 07 15:29:17 2020>
D263  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D264  dce_push_char_Nstr  | sending <interface>="sl_d_60"
D265  dce_submit_ext      | about to submit RPC to <OECbroker:>
D266  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D267  dce_push_long       | sending <dce_rpccount>=0
D268  dce_pop_long        | got <dce_rpccount>=55151494
D269  dce_pop_int         | got <dce_svr_pid>=25945
D270  dce_submit_ext      | data transferred, Socket <968> closed
D271  dce_table_destroy   | about to clear <996a500>
D272  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D273  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:50210:0|>

W275  dce_findserver      | =======<sl_d_60>@<192.168.2.10/emis1>:<50210>=======
D276  dce_submit_ext      | about to submit RPC to <sl_d_60:>
D277  dce_submit_ext      |    :function<sl_d_60_sel_spcno>:socket<968>
D278  dce_push_long       | sending <dce_rpccount>=0
D279  dce_pop_long        | got <dce_rpccount>=190083
D280  dce_pop_int         | got <dce_svr_pid>=18487
D281  dce_submit_ext      | data transferred, Socket <968> closed
D282  dce_pop_long        | got <dce_result>=5
D283  dce_table_destroy   | about to clear <996aa70>
D284  dce_table_destroy   | current time is <Mon Sep 07 15:29:17 2020>
D285  dce_findserver      | current time is <Mon Sep 07 15:29:23 2020>
D286  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D287  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D288  dce_submit_ext      | about to submit RPC to <OECbroker:>
D289  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D290  dce_push_long       | sending <dce_rpccount>=0
D291  dce_pop_long        | got <dce_rpccount>=55151510
D292  dce_pop_int         | got <dce_svr_pid>=25945
D293  dce_submit_ext      | data transferred, Socket <968> closed
D294  dce_table_destroy   | about to clear <996aab0>
D295  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D296  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W298  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D299  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D300  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D301  dce_push_long       | sending <dce_rpccount>=0
D302  dce_pop_long        | got <dce_rpccount>=80098
D303  dce_pop_int         | got <dce_svr_pid>=13146
D304  dce_submit_ext      | data transferred, Socket <968> closed
D305  dce_pop_long        | got <dce_result>=1
D306  dce_table_destroy   | about to clear <996ac60>
D307  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D308  dce_findserver      | current time is <Mon Sep 07 15:29:23 2020>
D309  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D310  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D311  dce_submit_ext      | about to submit RPC to <OECbroker:>
D312  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D313  dce_push_long       | sending <dce_rpccount>=0
D314  dce_pop_long        | got <dce_rpccount>=55151512
D315  dce_pop_int         | got <dce_svr_pid>=25945
D316  dce_submit_ext      | data transferred, Socket <968> closed
D317  dce_table_destroy   | about to clear <996aca0>
D318  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D319  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W321  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D322  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D323  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D324  dce_push_long       | sending <dce_rpccount>=0
D325  dce_pop_long        | got <dce_rpccount>=80100
D326  dce_pop_int         | got <dce_svr_pid>=13146
D327  dce_submit_ext      | data transferred, Socket <968> closed
D328  dce_pop_long        | got <dce_result>=1
D329  dce_table_destroy   | about to clear <996ad70>
D330  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D331  dce_findserver      | current time is <Mon Sep 07 15:29:23 2020>
D332  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D333  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D334  dce_submit_ext      | about to submit RPC to <OECbroker:>
D335  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D336  dce_push_long       | sending <dce_rpccount>=0
D337  dce_pop_long        | got <dce_rpccount>=55151513
D338  dce_pop_int         | got <dce_svr_pid>=25945
D339  dce_submit_ext      | data transferred, Socket <968> closed
D340  dce_table_destroy   | about to clear <996b440>
D341  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D342  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W344  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D345  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D346  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D347  dce_push_long       | sending <dce_rpccount>=0
D348  dce_pop_long        | got <dce_rpccount>=80101
D349  dce_pop_int         | got <dce_svr_pid>=13146
D350  dce_submit_ext      | data transferred, Socket <968> closed
D351  dce_pop_long        | got <dce_result>=1
D352  dce_table_destroy   | about to clear <996bc80>
D353  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D354  dce_findserver      | current time is <Mon Sep 07 15:29:23 2020>
D355  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D356  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D357  dce_submit_ext      | about to submit RPC to <OECbroker:>
D358  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D359  dce_push_long       | sending <dce_rpccount>=0
D360  dce_pop_long        | got <dce_rpccount>=55151514
D361  dce_pop_int         | got <dce_svr_pid>=25945
D362  dce_submit_ext      | data transferred, Socket <968> closed
D363  dce_table_destroy   | about to clear <996b630>
D364  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D365  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W367  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D368  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D369  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D370  dce_push_long       | sending <dce_rpccount>=0
D371  dce_pop_long        | got <dce_rpccount>=80102
D372  dce_pop_int         | got <dce_svr_pid>=13146
D373  dce_submit_ext      | data transferred, Socket <968> closed
D374  dce_pop_long        | got <dce_result>=1
D375  dce_table_destroy   | about to clear <996b680>
D376  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D377  dce_findserver      | current time is <Mon Sep 07 15:29:23 2020>
D378  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D379  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D380  dce_submit_ext      | about to submit RPC to <OECbroker:>
D381  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D382  dce_push_long       | sending <dce_rpccount>=0
D383  dce_pop_long        | got <dce_rpccount>=55151516
D384  dce_pop_int         | got <dce_svr_pid>=25945
D385  dce_submit_ext      | data transferred, Socket <968> closed
D386  dce_table_destroy   | about to clear <996b1d0>
D387  dce_table_destroy   | current time is <Mon Sep 07 15:29:23 2020>
D388  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W390  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D391  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D392  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D393  dce_push_long       | sending <dce_rpccount>=0
D394  dce_pop_long        | got <dce_rpccount>=80103
D395  dce_pop_int         | got <dce_svr_pid>=13146
D396  dce_submit_ext      | data transferred, Socket <968> closed
D397  dce_pop_long        | got <dce_result>=1
D398  dce_table_destroy   | about to clear <996b940>
D399  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D400  dce_findserver      | current time is <Mon Sep 07 15:29:24 2020>
D401  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D402  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D403  dce_submit_ext      | about to submit RPC to <OECbroker:>
D404  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D405  dce_push_long       | sending <dce_rpccount>=0
D406  dce_pop_long        | got <dce_rpccount>=55151518
D407  dce_pop_int         | got <dce_svr_pid>=25945
D408  dce_submit_ext      | data transferred, Socket <968> closed
D409  dce_table_destroy   | about to clear <996b500>
D410  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D411  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W413  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D414  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D415  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D416  dce_push_long       | sending <dce_rpccount>=0
D417  dce_pop_long        | got <dce_rpccount>=80104
D418  dce_pop_int         | got <dce_svr_pid>=13146
D419  dce_submit_ext      | data transferred, Socket <968> closed
D420  dce_pop_long        | got <dce_result>=1
D421  dce_table_destroy   | about to clear <996bbf0>
D422  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D423  dce_findserver      | current time is <Mon Sep 07 15:29:24 2020>
D424  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D425  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D426  dce_submit_ext      | about to submit RPC to <OECbroker:>
D427  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D428  dce_push_long       | sending <dce_rpccount>=0
D429  dce_pop_long        | got <dce_rpccount>=55151520
D430  dce_pop_int         | got <dce_svr_pid>=25945
D431  dce_submit_ext      | data transferred, Socket <968> closed
D432  dce_table_destroy   | about to clear <996c440>
D433  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D434  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W436  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D437  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D438  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D439  dce_push_long       | sending <dce_rpccount>=0
D440  dce_pop_long        | got <dce_rpccount>=80106
D441  dce_pop_int         | got <dce_svr_pid>=13146
D442  dce_submit_ext      | data transferred, Socket <968> closed
D443  dce_pop_long        | got <dce_result>=1
D444  dce_table_destroy   | about to clear <996cc80>
D445  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D446  dce_findserver      | current time is <Mon Sep 07 15:29:24 2020>
D447  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D448  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D449  dce_submit_ext      | about to submit RPC to <OECbroker:>
D450  dce_submit_ext      |    :function<dce_get_serverlist>:socket<968>
D451  dce_push_long       | sending <dce_rpccount>=0
D452  dce_pop_long        | got <dce_rpccount>=55151521
D453  dce_pop_int         | got <dce_svr_pid>=25945
D454  dce_submit_ext      | data transferred, Socket <968> closed
D455  dce_table_destroy   | about to clear <996c630>
D456  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D457  dce_cache_refresh   | The broker sent an updated serverlist: <192.168.2.10/emis1:49361:0|>

W459  dce_findserver      | =======<sl_p_88>@<192.168.2.10/emis1>:<49361>=======
D460  dce_submit_ext      | about to submit RPC to <sl_p_88:>
D461  dce_submit_ext      |    :function<sl_online_result_ul_4>:socket<968>
D462  dce_push_long       | sending <dce_rpccount>=0
D463  dce_pop_long        | got <dce_rpccount>=80107
D464  dce_pop_int         | got <dce_svr_pid>=13146
D465  dce_submit_ext      | data transferred, Socket <968> closed
D466  dce_pop_long        | got <dce_result>=1
D467  dce_table_destroy   | about to clear <996c680>
D468  dce_table_destroy   | current time is <Mon Sep 07 15:29:24 2020>
D469  dce_findserver      | current time is <Mon Sep 07 15:29:24 2020>
D470  connect_broker_insta| Connected to broker <emis1.duih.org:13000> at socket <968>
D471  dce_push_char_Nstr  | sending <interface>="sl_p_88"
D472  dce_submit_ext      | about to submit RPC to <OECbroker:>
